"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"Workshop in Dance Activity","1
001","23","3.957","87.0",".","4.3",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Modern Dance I","11
001","25","3.739","76.0",".","12.0",".",".","4.0",".","4.0",".",".",".",".",".",".",".","4.0"
"Modern Dance Technique I","111
001","19","3.605","42.1","36.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance II","12
001","17","3.821","58.8","17.6","5.9",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","18","3.250",".","61.1","16.7","5.6","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"Rhythmic Movement Lab I","144
001","22","3.386","27.3","50.0","18.2",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151
001","28","3.393","42.9","25.0","17.9","10.7",".",".","3.6",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167
001","29","3.569","27.6","58.6","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","21
001","15","3.577","40.0","20.0","26.7",".",".",".",".","6.7",".",".",".",".",".",".","6.7","."
"","21
002","24","3.600","25.0","25.0","12.5",".",".",".",".","33.3",".",".",".",".",".","4.2",".","."
"Ballet I","Course Total","39","3.589","30.8","23.1","17.9",".",".",".",".","23.1",".",".",".",".",".","2.6","2.6","."
"Modern Dance Technique III","211
001","21","3.619","47.6","28.6","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","22
001","8","3.250",".","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","22
002","8","3.250",".","50.0","12.5","12.5",".",".",".","25.0",".",".",".",".",".",".",".","."
"Ballet II","Course Total","16","3.250",".","62.5","12.5","6.3","6.3",".",".","12.5",".",".",".",".",".",".",".","."
"Survey-Interarts & Technology","260
001","14","3.464","71.4","7.1","7.1",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","31
001","22","3.000","31.8","4.5","18.2","13.6","18.2","4.5",".","9.1",".",".",".",".",".",".",".","."
"","002
31","30","3.103","40.0",".","26.7","6.7","20.0","3.3",".",".","3.3",".",".",".",".",".",".","."
"Modern Jazz Dance","Course Total","52","3.061","36.5","1.9","23.1","9.6","19.2","3.8",".","3.8","1.9",".",".",".",".",".",".","."
"Modern Dance Technique V","311
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","20","3.371","10.0","50.0","25.0","5.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","325
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ballet Technique III","Course Total","23","3.382","8.7","56.5","21.7","4.3",".",".",".","8.7",".",".",".",".",".",".",".","."
"Video Desgn-Perf&Visual Art","351
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Composition II","355
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
055","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","11","3.857","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
41","38","3.762","34.2","15.8","5.3",".",".",".",".","39.5","2.6",".",".",".",".",".",".","2.6"
"","41
002","46","3.575","30.4","39.1","17.4",".",".",".",".","10.9",".",".",".",".",".",".","2.2","."
"","41
003","35","3.848","77.1","11.4","2.9",".","2.9",".",".","5.7",".",".",".",".",".",".",".","."
"","41
004","38","3.887","73.7","2.6","2.6",".","2.6",".",".","13.2",".",".",".",".",".","2.6",".","2.6"
"","41
005","40","3.935","70.0","5.0","2.5",".",".",".",".","22.5",".",".",".",".",".",".",".","."
"","41
006","46","3.663","37.0","41.3","8.7",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"Ballroom Dancing","Course Total","243","3.765","52.3","20.6","7.0",".","0.8",".",".","17.3","0.4",".",".",".",".","0.4","0.4","0.8"
"","42
001","23","3.933","56.5","8.7",".",".",".",".",".","26.1",".",".",".",".",".","8.7",".","."
"","002
42","38","3.767","57.9","7.9","10.5","2.6",".",".",".","21.1",".",".",".",".",".",".",".","."
"Ballroom Dance II","Course Total","61","3.822","57.4","8.2","6.6","1.6",".",".",".","23.0",".",".",".",".",".","3.3",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique IV","425
001","22","3.306","9.1","59.1","9.1",".",".",".","4.5","18.2",".",".",".",".",".",".",".","."
"","451
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 98 of 382"
