"","999
037","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
041","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
052","3","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","8","4.000","75.0",".",".",".",".",".",".","12.5",".",".","",".",".","12.5",".",".","."
"ED PSYCH
315","Dept. Total","1196","3.626","55.8","18.5","11.8","4.5","2.3","0.7","0.2","4.3","0.1",".","",".","0.7","1.3",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","73","3.381","27.4","32.9","28.8","6.8","2.7",".",".",".",".",".","",".",".",".",".",".","1.4"
"Sophomore","","232","3.541","50.9","23.7","16.4","5.2","1.7","1.7","0.4",".",".",".","",".",".",".",".",".","."
"Junior","","292","3.559","55.1","17.5","16.1","6.5","4.5","0.3",".",".",".",".","",".",".",".",".",".","."
"Senior","","268","3.617","58.6","20.9","8.6","6.7","2.6","0.7","0.4","1.5",".",".","",".",".",".",".",".","."
"Undergraduates","","865","3.557","52.7","21.5","14.9","6.2","3.0","0.8","0.2","0.5",".",".","",".",".",".",".",".","0.1"
"Special","","36","3.818","77.8","8.3",".",".","2.8","2.8",".",".",".",".","",".",".","8.3",".",".","."
"Graduate","","280","3.876","61.4","10.4","3.9",".",".",".",".","16.8","0.4",".","",".","2.9","4.3",".",".","."
"Prof Yr 1","","3","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","","2","3.700","50.0","50.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","15","3.830","73.3","20.0","6.7",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1196","3.626","55.8","18.5","11.8","4.5","2.3","0.7","0.2","4.3","0.1",".","",".","0.7","1.3",".",".","0.1"
