"MED","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","",""
"Society&Health Care-Am Hist","504
001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508
001","","10","3.194","10.0","40.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Public Health-America","509
001","","16","3.563","37.5","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","","8","2.938","12.5","37.5","37.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Topics in History of Med","668
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","901
001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bioethics and the Law","905
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","","52","3.409","28.8","40.4","21.2","5.8",".",".","1.9","1.9",".",".",".",".",".",".",".","."
