"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","24","3.792","91.7",".","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"211","001","","22","2.727","9.1","18.2","22.7","27.3","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"211","002","","25","2.580","12.0","4.0","20.0","32.0","24.0","8.0",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","47","2.649","10.6","10.6","21.3","29.8","19.1","8.5",".",".",".",".",".",".",".",".",".","."
"250","002","","36","2.868","13.9","11.1","33.3","13.9","19.4","2.8",".","2.8",".",".",".",".",".",".",".","2.8"
"250","003","","17","2.882","23.5","11.8","29.4","11.8","17.6",".","5.9",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","53","2.873","17.0","11.3","32.1","13.2","18.9","1.9","1.9","1.9",".",".",".",".",".",".",".","1.9"
"311
Thermodynamics of Mixtures","001","","52","2.817","23.1","7.7","25.0","9.6","28.8","5.8",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","66","2.758","15.2","16.7","19.7","19.7","21.2","6.1","1.5",".",".",".",".",".",".",".",".","."
"324","002","","11","3.045","9.1","36.4","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"324","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"324","004","","12","3.167","16.7","16.7","58.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"324","005","","9","3.167","33.3","11.1","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","37","3.054","16.2","18.9","37.8","13.5","13.5",".",".",".",".",".",".",".",".",".",".","."
"326
Momentum&Heat Transfer Oper","001","","41","2.939","22.0","17.1","22.0","14.6","19.5","4.9",".",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"426
Mass Transfer Operations","001","","52","3.038","19.2","11.5","42.3","11.5","15.4",".",".",".",".",".",".",".",".",".",".","."
"430
Chem Kinetcs & Reactor Dsgn","001","","39","3.039","33.3","12.8","17.9","15.4","12.8",".","5.1","2.6",".",".",".",".",".",".",".","."
"440
Chemical Engineering Matl","001","","53","2.802","15.1","9.4","30.2","18.9","22.6","3.8",".",".",".",".",".",".",".",".",".","."
"450
Process Design","001","","38","3.181","21.1","26.3","21.1","18.4","7.9",".",".","2.6",".",".",".",".","2.6",".",".","."
"470
Process Dynamics & Control","001","","39","2.936","17.9","15.4","28.2","12.8","25.6",".",".",".",".",".",".",".",".",".",".","."
"540
Polymer Sci & Technology","001","","27","2.980","25.9","7.4","18.5","18.5","22.2",".",".",".","3.7",".",".",".",".",".","3.7","."
"560
Biochemical Engineering","002","","18","3.000","16.7","22.2","22.2","22.2","5.6","5.6",".","5.6",".",".",".",".",".",".",".","."
"562","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","2","***","","","","","","","","","","","","","","","",""
"567
Solar Energy Technology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"599","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Intmed Transport Phenomena","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"660
Intmed Problems in ChE","001","","24","3.542","62.5",".","29.2",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 106 of 382",""
