"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","4256","3.522","35.2","18.7","22.2","2.5","0.8","0.5","0.0","19.6","",".",".",".","0.0","0.2",".","0.3","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Junior","","2","3.000",".",".","100.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","2","3.250",".","50.0","50.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","","4","3.111",".","25.0","75.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Special","","36","3.365","30.6","19.4","22.2","5.6","2.8",".",".","5.6","",".",".",".",".",".",".","13.9","."
"Graduate","","124","3.417","25.0","33.9","30.6","3.2",".",".",".","7.3","",".",".",".",".",".",".",".","."
"Prof Yr 1","","1330","3.467","35.7","24.0","34.3","4.0","1.0","0.2",".","0.5","",".",".",".",".",".",".","0.4","."
"Prof Yr 2","","1456","3.561","35.4","14.9","17.2","1.6","0.7","0.7","0.1","28.8","",".",".",".",".","0.4",".","0.1","."
"Prof Yr 3","","1267","3.585","36.1","16.4","14.8","1.8","0.7","0.7",".","29.1","",".",".",".",".","0.2",".",".","."
"Prof Yr 4","","39","3.944","12.8","2.6",".",".",".",".",".","79.5","",".",".",".","5.1",".",".",".","."
"Professionals","","4092","3.527","35.5","18.2","21.9","2.4","0.8","0.5","0.0","20.2","",".",".",".","0.0","0.2",".","0.1","."
"","College Total","4256","3.522","35.2","18.7","22.2","2.5","0.8","0.5","0.0","19.6","",".",".",".","0.0","0.2",".","0.3","."
