"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"451
Kinemtcs&Dynmcs-Machine Sys","001","","19","3.763","73.7","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"469
Internal Combustion Engines","001","","30","3.083","16.7","23.3","33.3","20.0","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"491","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","017","","7","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","22","3.384","50.0","36.4",".",".",".",".","13.6",".",".",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","32","3.458","43.8","46.9",".",".",".",".","9.4",".",".",".",".",".",".",".",".","."
"492
Mech Engr Projects II","050","","9","3.940","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Facilities Planning","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"512
Inspectn,Qual Cntrl&Relblty","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"549
Product Design","001","","27","3.481","22.2","51.9","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Intermediate Thermodynamics","001","","22","3.357","22.7","22.7","50.0",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"567
Solar Energy Technology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"569
Applied Combustion","001","","16","3.656","56.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Intermediate Gas Dynamics","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"573","001","","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"573","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Fluid Dynamcs","Course Total","","10","3.667","60.0","20.0",".",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"601","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","004","","34","3.368","14.7","44.1","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","005","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","52","3.559","38.5","32.7","26.9",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"643
Performnc Anal-Manufact Sys","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","14","3.950","71.4","7.1",".",".",".",".",".","7.1",".",".",".","14.3",".",".",".","."
"718","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"718","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Modlng&Simlatn-Polymer Proc","Course Total","","2","***","","","","","","","","","","","","","","","",""
"746","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"746","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dynamics-Controlled Systems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"773
Boundary Layer Theory","001","","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
