"BUS","","","","","","","","","","","","","","","","","","","",""
"INFORMATION SYSTEMS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","",""
"","365
001","","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","","19","3.553","52.6","26.3","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","38","3.697","63.2","23.7","5.3","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","28","3.481","32.1","32.1","28.6","3.6",".",".",".",".",".",".",".",".",".","3.6",".","."
"","002
371","","24","3.500","29.2","41.7","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","Course Total","","52","3.490","30.8","36.5","28.8","1.9",".",".",".",".",".",".",".",".",".","1.9",".","."
"Computer-Based Data Mgt","422
001","","28","3.482","32.1","39.3","25.0",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
001","","38","3.431","18.4","47.4","26.3","2.6",".",".",".",".",".",".",".",".",".","5.3",".","."
"","700
002","","41","3.575","26.8","58.5","12.2",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Info Technol for Management","Course Total","","79","3.507","22.8","53.2","19.0","1.3",".",".",".","1.3",".",".",".",".",".","2.5",".","."
"Computer-Based Data Mgt","001
722","","22","3.477","27.3","40.9","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","724
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Information Systems","872
001","","52","3.865","76.9","21.2",".","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"INFO SYS
234","Dept. Total","","291","3.620","43.0","37.5","15.8","1.7","0.7",".",".","0.3",".",".",".",".",".","1.0",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","20","3.711","50.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"Senior","","","95","3.521","40.0","31.6","23.2","3.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","116","3.552","41.4","32.8","20.7","2.6","1.7",".",".",".",".",".",".",".",".","0.9",".","."
"Special","","","4","4.000","50.0",".",".",".",".",".",".","25.0",".",".",".",".",".","25.0",".","."
"Graduate","","","171","3.668","43.9","41.5","12.9","1.2",".",".",".",".",".",".",".",".",".","0.6",".","."
"","Dept. Total","","291","3.620","43.0","37.5","15.8","1.7","0.7",".",".","0.3",".",".",".",".",".","1.0",".","."
