"FOOD SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"","120
001","132","3.190","19.7","29.5","32.6","7.6","5.3","2.3","0.8","1.5",".",".",".",".",".",".","0.8","."
"","002
120","157","3.192","23.6","25.5","29.3","12.7","6.4","1.3","0.6","0.6",".",".",".",".",".",".",".","."
"","003
120","166","3.173","18.7","34.9","21.7","11.4","6.0","1.2","1.8","3.6",".",".",".",".",".","0.6",".","."
"Science of Food","Course Total","455","3.185","20.7","30.1","27.5","10.8","5.9","1.5","1.1","2.0",".",".",".",".",".","0.2","0.2","."
"Prof-Dietetics & Nutrition","200
001","34","",".",".",".",".",".",".",".",".",".","97.1",".",".",".",".",".","2.9"
"Nature of Food","235
001","87","3.198","31.0","14.9","32.2","5.7","13.8","1.1",".",".",".",".",".",".","1.1",".",".","."
"","236
001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
003","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","38","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"Analysis of Food Products","310
001","20","2.975","30.0","20.0","5.0","25.0","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","14","2.786","7.1","7.1","42.9","21.4","21.4",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","57","2.939","14.0","21.1","22.8","26.3","14.0","1.8",".",".",".",".",".",".",".",".",".","."
"Food Service Operations","437
001","43","3.349","18.6","39.5","34.9","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"","438
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Serv Operations CUP","439
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Food Engr","440
001","15","2.857","20.0",".","40.0",".","33.3",".",".","6.7",".",".",".",".",".",".",".","."
"Food Science Capstone","499
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Food Chem-Lab","001
512","11","3.318","27.3","18.2","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Food Processing I","530
001","19","3.026","21.1","21.1","31.6","5.3","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Phase Transitions in Foods","640
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","11","3.842","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Food Toxicology","704
001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloid Chemistry of Foods","718
001","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","Course Total","4","***","","","","","","","","","","","","","","","",""
"Special Topics","875
001","7","3.150","28.6","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar Advanced","900
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 19 of 382"
