"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","12","3.792","83.3","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"271
Mat Sci&Engr Prob Solvng I","001","","20","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","19","3.447","36.8","26.3","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","144","3.309","38.9","11.8","31.9","5.6","7.6","2.1",".","1.4",".",".",".",".","0.7",".",".","."
"351
Struct&Property Rels-Solids","001","","30","2.850","10.0","20.0","23.3","23.3","23.3",".",".",".",".",".",".",".",".",".",".","."
"360","001","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","6","3.000",".","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","15","3.333","26.7","33.3","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"362
Materials Laboratory III","001","","19","3.756","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","19","3.632","47.4","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"448
Crystallog & Xray Diffractn","001","","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"451
Intro to Ceramic Materials","001","","26","2.885","26.9","7.7","26.9","15.4","15.4","3.8","3.8",".",".",".",".",".",".",".",".","."
"461
Advanced Metal Casting","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"463
Matrls-Elevated Temp Serv","001","","13","3.308","23.1","30.8","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"466
Copper & Copper Base Alloys","001","","17","3.647","52.9","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"467
The Light Alloys","001","","20","3.553","50.0","25.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","5.0","."
"468
The Stainless Steels","001","","19","3.711","63.2","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","11","3.409","36.4","18.2","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"562
Applied Superconductivity","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"570
Properties-Solid Surfaces","001","","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","9","",".",".",".",".",".",".",".","11.1",".",".",".","88.9",".",".",".","."
"803","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","23","4.000","87.0",".",".",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"890","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 133 of 382",""
