"GEOLOGICAL ENGINEERING","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Geological Engr","401","001","","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geol Engr Design","478","001","","14","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seepage and Slopes","530","001","","16","3.344","6.3","62.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","","10","3.125","10.0","20.0","30.0","20.0",".",".",".","10.0",".",".",".",".",".",".","10.0","."
"Hydrogeology","627","001","","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Properties of Geosynthetics","731","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","057","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","","Course Total","","10","",".",".",".",".",".",".",".","70.0",".",".",".","30.0",".",".",".","."
"Spec Topics-Geological Engr","801","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","","Course Total","","7","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
"Seminar","900","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"G L E
418","","Dept. Total","","110","3.345","20.9","37.3","12.7","6.4","3.6","0.9",".","10.9",".",".",".","6.4",".",".","0.9","."
