"","990
065","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
115","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"PhD Thesis-Finance","Course Total","5","***","","","","","","","","","","","","","","","","","",""
"Reading & Rsch-Finance PhD","999
046","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"FINANCE
233","Dept. Total","1508","3.206","24.9","22.9","32.3","10.3","6.8","0.9","0.7","0.7","",".",".","",".","0.1","0.1","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","",""
"Junior","","365","3.086","20.8","18.1","38.4","11.2","8.8","1.4","1.4",".","",".",".","",".",".",".",".",".","."
"Senior","","671","3.078","20.6","16.2","36.5","14.9","10.1","1.2","0.3","0.1","",".",".","",".",".",".",".",".","."
"Undergraduates","","1036","3.081","20.7","16.9","37.2","13.6","9.7","1.3","0.7","0.1","",".",".","",".",".",".",".",".","."
"Special","","59","3.170","20.3","30.5","33.9","1.7","3.4",".","5.1","5.1","",".",".","",".",".",".",".",".","."
"Graduate","","410","3.540","36.6","36.8","19.5","3.4","0.2",".","0.2","1.7","",".",".","",".","0.2","0.5","0.2",".","0.5"
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","3.250",".","50.0","50.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","3","3.167",".","33.3","66.7",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1508","3.206","24.9","22.9","32.3","10.3","6.8","0.9","0.7","0.7","",".",".","",".","0.1","0.1","0.1",".","0.1"
