"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","342
002","22","2.738","13.6","13.6","18.2","9.1","40.9",".",".",".",".",".",".",".",".","4.5",".","."
"","342
003","17","2.824","17.6","11.8","23.5","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","55","2.787","14.5","16.4","20.0","14.5","29.1","3.6",".",".",".",".",".",".",".","1.8",".","."
"","349
001","12","2.875",".","8.3","75.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","349
002","15","3.033",".","13.3","80.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","349
003","10","3.000",".","10.0","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","7","2.786",".",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"","349
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","49","3.010","2.0","16.3","67.3","10.2","4.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Graphic Analysis","350
001","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","29","2.655","13.8","13.8","6.9","41.4","17.2","3.4","3.4",".",".",".",".",".",".",".",".","."
"","002
361","29","2.517","17.2","13.8","13.8","20.7","10.3","20.7","3.4",".",".",".",".",".",".",".",".","."
"","361
003","30","2.817","10.0","20.0","20.0","23.3","26.7",".",".",".",".",".",".",".",".",".",".","."
"","361
004","27","2.407","11.1","11.1","3.7","25.9","40.7",".","7.4",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","115","2.604","13.0","14.8","11.3","27.8","23.5","6.1","3.5",".",".",".",".",".",".",".",".","."
"","001
363","27","2.962","25.9","14.8","22.2","7.4","18.5","7.4",".","3.7",".",".",".",".",".",".",".","."
"","002
363","35","3.000","14.3","28.6","25.7","22.9","2.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"","003
363","32","3.188","21.9","12.5","50.0","12.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","94","3.054","20.2","19.1","33.0","14.9","7.4","3.2","1.1","1.1",".",".",".",".",".",".",".","."
"","364
001","13","2.923","15.4","23.1","30.8","23.1",".",".","7.7",".",".",".",".",".",".",".",".","."
"","364
002","27","3.250","37.0","11.1","29.6",".","18.5",".",".",".",".",".",".",".","3.7",".",".","."
"","003
364","24","2.417",".","16.7","8.3","25.0","45.8","4.2",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","64","2.865","18.8","15.6","21.9","14.1","25.0","1.6","1.6",".",".",".",".",".","1.6",".",".","."
"Engr Measurements Lab","368
001","67","3.201","19.4","28.4","31.3","14.9","6.0",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","001
370","42","2.738","11.9","14.3","19.0","19.0","35.7",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Polymer Processing","417
001","33","3.697","60.6","27.3","6.1","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"","001
418","42","3.643","45.2","40.5","11.9","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","15","3.533","46.7","13.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","64","3.619","45.3","32.8","18.8","1.6",".",".",".",".",".",".",".",".","1.6",".",".","."
"Stat Expermntl Design-Engrs","424
001","23","3.543","26.1","56.5","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Metal Cutting","429
001","21","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dynamic Problems in Design","440
001","16","3.750","68.8","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","001
446","15","3.000","33.3","20.0","13.3","6.7","20.0",".","6.7",".",".",".",".",".",".",".",".","."
"","446
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","23","3.114","39.1","17.4","13.0","4.3","13.0","4.3","4.3",".",".",".",".",".","4.3",".",".","."
