"L&S","","","","","","","","","","","","","","","","","","","",""
"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Ethics&Values-Policy Making","530
001","","11","3.194","27.3","36.4","27.3",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Regional Econ Prob Analysis","734
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","799
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Analys & Policy Smr","809
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","818
001","","25","3.300","24.0","32.0","28.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","818
002","","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Tools-Pub Pol Analysis","Course Total","","37","3.324","24.3","32.4","29.7","10.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"International Pub Pol & Mgmt","850
001","","19","3.611","31.6","52.6","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Public Personnel Adm","875
001","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Management","878
001","","26","3.731","57.7","34.6","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","880
001","","15","3.467","26.7","40.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","880
002","","25","3.340","20.0","40.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Microecon Policy Analysis","Course Total","","40","3.388","22.5","40.0","30.0","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"State & Local Govt Finance","891
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PUB AFFR
826","Dept. Total","","168","3.505","35.7","35.7","19.0","4.8","0.6","0.6",".","3.6",".",".",".",".",".",".",".","."
