"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Signals and Systems","330
001","106","2.600","6.6","17.9","24.5","8.5","34.9","3.8","2.8","0.9",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","27","3.077","29.6","7.4","37.0","7.4","7.4","7.4",".","3.7",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","32","2.766","9.4","28.1","12.5","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".","."
"","335
001","60","2.758","6.7","21.7","26.7","20.0","20.0","3.3","1.7",".",".",".",".",".",".",".",".","."
"","335
002","31","2.661","9.7","9.7","32.3","19.4","19.4","9.7",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","Course Total","91","2.725","7.7","17.6","28.6","19.8","19.8","5.5","1.1",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","001
340","54","3.250","33.3","24.1","18.5","11.1","11.1","1.9",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","57","2.746","14.0","17.5","26.3","12.3","19.3","8.8","1.8",".",".",".",".",".",".",".",".","."
"","350
001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
350","15","3.533","13.3","80.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","67","3.754","53.7","43.3","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
001","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","13","3.346","30.8","38.5","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","351
005","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","351
007","13","3.346","30.8","23.1","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","56","3.393","28.6","37.5","26.8","1.8","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"","352
001","49","2.698","10.2","12.2","18.4","26.5","28.6","2.0",".",".",".",".",".",".",".",".",".","2.0"
"","352
002","56","2.946","12.5","17.9","39.3","10.7","17.9","1.8",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","105","2.832","11.4","15.2","29.5","18.1","22.9","1.9",".",".",".",".",".",".",".",".",".","1.0"
"Intro to Microprocessor Sys","001
353","78","2.740","17.9","20.5","14.1","14.1","16.7","9.0","3.8",".",".",".",".",".",".",".","3.8","."
"","354
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
002","20","3.425","35.0","45.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","354
004","10","2.800","10.0","10.0","40.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","33","3.076","27.3","30.3","15.2","9.1","9.1","6.1","3.0",".",".",".",".",".",".",".",".","."
"","001
355","11","3.091","27.3","18.2","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"","355
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","13","2.808","23.1","15.4","15.4","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"","370
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
370","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","55","3.873","76.4","21.8","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","68","3.125","26.5","14.7","41.2","1.5","11.8","4.4",".",".",".",".",".",".",".",".",".","."
"","002
376","67","3.067","14.9","28.4","31.3","11.9","10.4","3.0",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","135","3.096","20.7","21.5","36.3","6.7","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"","377
001","43","3.535","34.9","46.5","11.6","4.7","2.3",".",".",".",".",".",".",".",".",".",".","."
"","377
002","41","3.317","34.1","43.9","7.3","4.9","2.4","2.4","4.9",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","Course Total","84","3.429","34.5","45.2","9.5","4.8","2.4","1.2","2.4",".",".",".",".",".",".",".",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 114 of 382",""
