"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","360","3.088","17.2","24.7","35.6","6.7","13.1","2.2",".","0.6",".",".",".",".",".",".",".","."
"","002
101","356","3.149","23.9","22.8","32.3","8.1","9.8","2.0","0.8","0.3",".",".",".",".",".",".",".","."
"","003
101","328","2.657","14.3","14.6","22.0","18.0","18.6","9.1","3.4",".",".",".",".",".",".",".",".","."
"","004
101","318","2.918","18.6","19.8","22.3","15.4","19.8","2.2","1.6",".",".",".",".",".",".",".","0.3","."
"","101
005","187","2.834","11.8","24.1","20.9","19.3","16.0","4.8","1.6","0.5",".",".",".",".",".",".",".","1.1"
"Principles-Microeconomics","Course Total","1549","2.945","17.8","21.0","27.4","12.7","15.2","3.9","1.4","0.3",".",".",".",".",".",".","0.1","0.1"
"","102
001","312","2.774","16.0","15.4","22.1","19.9","18.9","3.8","3.2","0.6",".",".",".",".",".",".",".","."
"","002
102","349","2.776","15.2","14.9","25.8","16.6","19.5","6.0","1.7",".",".",".",".",".",".",".",".","0.3"
"Principles-Macroeconomics","Course Total","661","2.775","15.6","15.1","24.1","18.2","19.2","5.0","2.4","0.3",".",".",".",".",".",".",".","0.2"
"","111
001","35","3.357","40.0","20.0","22.9","11.4","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","002
111","36","3.417","38.9","25.0","19.4","13.9","2.8",".",".",".",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","Course Total","71","3.387","39.4","22.5","21.1","12.7","2.8","1.4",".",".",".",".",".",".",".",".",".","."
"","300
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
002","7","2.167",".",".","28.6","28.6","14.3",".","14.3","14.3",".",".",".",".",".",".",".","."
"","300
003","14","2.808","7.1","7.1","42.9","28.6",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","25","2.717","8.0","4.0","44.0","24.0","4.0","4.0","4.0","8.0",".",".",".",".",".",".",".","."
"","001
301","74","2.746","16.2","13.5","20.3","16.2","23.0","4.1","2.7","2.7","1.4",".",".",".",".",".",".","."
"","002
301","72","2.417","6.9","13.9","12.5","15.3","30.6","8.3","4.2","2.8","1.4",".",".",".","1.4","1.4",".","1.4"
"Intmed Microeconomic Theory","Course Total","146","2.588","11.6","13.7","16.4","15.8","26.7","6.2","3.4","2.7","1.4",".",".",".","0.7","0.7",".","0.7"
"","302
001","74","2.925","28.4","9.5","21.6","13.5","18.9","5.4","2.7",".",".",".",".",".",".",".",".","."
"","002
302","38","3.111","26.3","15.8","18.4","21.1","13.2",".",".","5.3",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","112","2.986","27.7","11.6","20.5","16.1","17.0","3.6","1.8","1.8",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","42","2.720","9.5","21.4","14.3","19.0","28.6","4.8",".","2.4",".",".",".",".",".",".",".","."
"","310
001","55","2.682","21.8","5.5","32.7","3.6","25.5","3.6","7.3",".",".",".",".",".",".",".",".","."
"","002
310","44","2.648","15.9","18.2","27.3","2.3","18.2","13.6","4.5",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","99","2.667","19.2","11.1","30.3","3.0","22.2","8.1","6.1",".",".",".",".",".",".",".",".","."
"Intmed Microecon-Math Trtmt","001
311","14","3.000","28.6","14.3","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"","320
001","6","2.417","16.7","16.7",".",".","50.0","16.7",".",".",".",".",".",".",".",".",".","."
"","320
002","6","2.417","16.7",".","16.7","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"Investments","Course Total","12","2.417","16.7","8.3","8.3","8.3","41.7","16.7",".",".",".",".",".",".",".",".",".","."
"Public Utilities","325
001","26","3.438","38.5","19.2","23.1","7.7","3.8",".",".","3.8",".",".",".",".","3.8",".",".","."
"Money and Banking","330
001","184","2.811","16.8","18.5","17.4","20.1","20.7","3.8","2.2","0.5",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","47","3.075","25.5","19.1","23.4","17.0","10.6","4.3",".",".",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","364
001","106","2.896","21.7","8.5","34.9","14.2","13.2","3.8","2.8",".",".",".",".",".",".",".",".","0.9"
"","390
001","66","3.132","21.2","22.7","33.3","6.1","6.1","3.0","1.5","6.1",".",".",".",".",".",".",".","."
"","014
390","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issue","Course Total","81","3.210","23.5","25.9","32.1","4.9","4.9","2.5","1.2","4.9",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","38","3.132","18.4","26.3","31.6","15.8","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"","420
001","8","3.125","25.0","25.0","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","420
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","9","3.000","22.2","22.2","22.2",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","426
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Analytical Public Finance","441
001","37","2.919","27.0","2.7","27.0","13.5","29.7",".",".",".",".",".",".",".",".",".",".","."
