"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1812","3.031","23.3","21.0","23.0","13.8","10.7","3.1","1.4","1.5","0.1","0.2","",".","1.2","0.2","0.1","0.3","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","346","2.728","11.3","19.1","23.1","17.9","18.2","6.9","2.3",".",".",".","",".",".","0.6",".","0.3","0.3"
"Sophomore","","435","2.994","12.6","28.5","26.9","18.6","9.4","2.5","0.7",".",".",".","",".",".",".",".","0.2","0.5"
"Junior","","390","3.002","19.7","19.5","26.4","16.7","12.1","3.1","1.3","0.5",".",".","",".",".",".","0.3","0.5","."
"Senior","","406","3.162","29.8","20.9","24.9","8.9","9.9","2.2","1.5","1.0","0.2","0.2","",".",".",".",".","0.2","0.2"
"Undergraduates","","1577","2.969","18.5","22.3","25.4","15.5","12.1","3.6","1.4","0.4","0.1","0.1","",".",".","0.1","0.1","0.3","0.3"
"Special","","17","2.415","11.8","17.6","17.6","29.4","5.9",".","17.6",".",".",".","",".",".",".",".",".","."
"Graduate","","217","3.787","59.0","12.0","5.5","0.5","0.9",".",".","9.7","0.5","0.9","",".","9.7","0.9",".","0.5","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1812","3.031","23.3","21.0","23.0","13.8","10.7","3.1","1.4","1.5","0.1","0.2","",".","1.2","0.2","0.1","0.3","0.2"
