"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","19","3.294","10.5","52.6","10.5","10.5","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"","003
101","23","3.727","52.2","39.1",".","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"","101
004","17","3.219","11.8","35.3","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".","5.9","."
"","101
005","22","3.273","9.1","63.6","22.7",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","101
007","19","3.639","52.6","26.3","10.5",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","101
008","17","3.033",".","47.1","17.6","17.6",".","5.9",".","5.9",".",".",".",".",".","5.9",".","."
"","101
009","19","3.444","21.1","47.4","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","010
101","19","3.444","26.3","42.1","15.8","10.5",".",".",".","5.3",".",".",".",".",".",".",".","."
"","011
101","18","3.031","22.2","27.8","11.1","11.1","11.1",".","5.6","11.1",".",".",".",".",".",".",".","."
"","101
012","17","3.188","47.1","17.6","11.8","5.9",".",".","11.8","5.9",".",".",".",".",".",".",".","."
"","101
013","17","3.367","23.5","29.4","23.5","11.8",".",".",".","11.8",".",".",".",".",".",".",".","."
"First Semester French","Course Total","207","3.350","25.6","39.6","15.9","7.2","2.4","0.5","1.9","5.8",".",".",".",".",".","0.5","0.5","."
"","102
001","19","3.342","52.6","26.3","10.5",".",".",".","10.5",".",".",".",".",".",".",".",".","."
"","102
002","19","3.316","15.8","42.1","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","003
102","12","3.208","33.3","25.0","16.7",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","17","3.000","23.5","23.5","17.6","11.8","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","102
005","21","3.150","19.0","19.0","38.1","9.5","9.5",".",".",".",".",".",".",".",".",".",".","4.8"
"","007
102","15","3.100","13.3","40.0","13.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","008
102","19","3.026","26.3","21.1","31.6","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","122","3.165","26.2","27.9","23.8","8.2","9.0","1.6","2.5",".",".",".",".",".",".",".",".","0.8"
"First Sem French Honors","181
001","13","3.769","76.9","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Second Sem French Honors","182
001","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","23","3.196","17.4","39.1","30.4","8.7",".",".","4.3",".",".",".",".",".",".",".",".","."
"","203
002","22","3.432","31.8","31.8","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","22","3.159","9.1","40.9","31.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
005","20","3.675","50.0","45.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","203
006","14","3.250","28.6","21.4","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","203
007","19","3.474","21.1","57.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
008","21","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
010","20","3.150","30.0","5.0","35.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","011
203","15","3.500","33.3","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","012
203","9","2.938","33.3","33.3",".",".",".","11.1","11.1","11.1",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","185","3.364","28.6","37.3","21.1","8.1","2.7","0.5","1.1","0.5",".",".",".",".",".",".",".","."
"","204
001","18","3.000","5.6","44.4","22.2","11.1","5.6",".","5.6","5.6",".",".",".",".",".",".",".","."
"","204
002","23","3.283","21.7","34.8","21.7","21.7",".",".",".",".",".",".",".",".",".",".",".","."
"","204
004","21","2.575","4.8","9.5","38.1","23.8","4.8","9.5","4.8","4.8",".",".",".",".",".",".",".","."
"","006
204","21","3.025","14.3","23.8","47.6",".",".","4.8","4.8","4.8",".",".",".",".",".",".",".","."
"","204
007","21","3.214","19.0","33.3","33.3","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"","009
204","24","2.652","4.2","25.0","20.8","16.7","20.8","4.2","4.2","4.2",".",".",".",".",".",".",".","."
"","010
204","24","3.333","25.0","41.7","25.0",".","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","204
011","10","2.944",".","30.0","50.0",".",".","10.0",".","10.0",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","162","3.016","13.0","30.2","30.9","11.1","4.9","4.3","2.5","3.1",".",".",".",".",".",".",".","."
"","227
001","20","2.950","5.0","35.0","40.0","5.0","5.0","10.0",".",".",".",".",".",".",".",".",".","."
"","003
227","21","2.605","4.8","14.3","33.3","9.5","14.3","14.3",".","9.5",".",".",".",".",".",".",".","."
"","227
004","22","3.500","31.8","36.4","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 201 of 382",""
