"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","26","2.788","15.4","3.8","53.8",".","19.2","3.8","3.8",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","211","3.227","22.7","31.8","25.6","12.8","5.2","1.4","0.5",".",".",".",".",".",".",".",".","."
"","120","001","16","2.563","6.3","25.0","31.3",".","12.5","25.0",".",".",".",".",".",".",".",".",".","."
"","120","002","21","3.190","14.3","42.9","19.0","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","37","2.919","10.8","35.1","24.3","8.1","10.8","10.8",".",".",".",".",".",".",".",".",".","."
"","121","001","26","2.880","19.2","26.9","7.7","19.2","15.4","3.8","3.8","3.8",".",".",".",".",".",".",".","."
"","121","002","26","2.750","7.7","11.5","38.5","15.4","23.1","3.8",".",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","","Course Total","52","2.814","13.5","19.2","23.1","17.3","19.2","3.8","1.9","1.9",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","41","3.768","63.4","26.8","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","127","001","11","2.682","9.1","9.1","18.2","36.4","27.3",".",".",".",".",".",".",".",".",".",".","."
"","127","002","6","3.167","33.3","16.7",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","17","2.853","17.6","11.8","11.8","41.2","17.6",".",".",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","52","2.942","25.0","13.5","26.9","9.6","17.3","7.7",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","6","3.786","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","194","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","13","3.077","15.4","38.5","15.4","7.7","23.1",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","33","3.409","45.5","21.2","12.1","12.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","16","3.563","56.3","12.5","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","16","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","14","2.900","35.7","7.1","7.1",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","9","2.563","22.2",".","22.2","11.1","11.1","22.2",".","11.1",".",".",".",".",".",".",".","."
"","339","001","42","3.190","26.2","19.0","35.7","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"","339","002","45","2.889","22.2","17.8","24.4","8.9","17.8","6.7","2.2",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","87","3.034","24.1","18.4","29.9","6.9","16.1","3.4","1.1",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","35","3.112","20.0","20.0","34.3","8.6","14.3",".",".","2.9",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","27","3.352","37.0","29.6","22.2","3.7","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","12","3.333","25.0","33.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","004","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Resources","411","001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","27","3.593","44.4","29.6","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Aesthetics","548","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","001","24","3.667","54.2","25.0","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","","Course Total","40","3.800","72.5","15.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","16","3.375","25.0","31.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 146 of 382",""
