"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","97","2.900","20.6","17.5","20.6","20.6","11.3","4.1","3.1",".","1.0",".",".",".",".",".",".","1.0"
"","101
002","152","2.993","12.5","19.1","36.2","20.4","11.2","0.7",".",".",".",".",".",".",".",".",".","."
"","101
003","80","3.066","13.8","23.8","30.0","16.3","11.3",".",".","2.5",".",".",".",".",".",".","2.5","."
"","101
004","86","2.918","14.0","24.4","16.3","29.1","12.8",".","2.3","1.2",".",".",".",".",".",".",".","."
"","101
005","93","3.301","21.5","36.6","29.0","8.6","3.2","1.1",".",".",".",".",".",".",".",".",".","."
"","101
006","96","3.213","38.5","28.1","5.2","7.3","12.5","3.1","3.1","1.0",".",".",".",".",".",".",".","1.0"
"Introduction to Philosophy","Course Total","604","3.060","19.7","24.3","24.0","17.2","10.4","1.5","1.3","0.7","0.2",".",".",".",".",".","0.3","0.3"
"","210
001","84","2.923","19.0","17.9","31.0","7.1","17.9","7.1",".",".",".",".",".",".",".",".",".","."
"","210
002","85","3.030","24.7","11.8","28.2","22.4","8.2","2.4","1.2","1.2",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","169","2.976","21.9","14.8","29.6","14.8","13.0","4.7","0.6","0.6",".",".",".",".",".",".",".","."
"","211
001","60","3.220","45.0","18.3","16.7","1.7","8.3","1.7","6.7","1.7",".",".",".",".",".",".",".","."
"","211
002","69","2.894","14.5","23.2","31.9","8.7","8.7","2.9","5.8","2.9","1.4",".",".",".",".",".",".","."
"","211
003","77","3.513","61.0","19.5","1.3","9.1","3.9",".","3.9","1.3",".",".",".",".",".",".",".","."
"","211
004","15","3.333","60.0","6.7","6.7","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","221","3.231","42.1","19.5","15.4","6.8","7.2","1.8","5.0","1.8","0.5",".",".",".",".",".",".","."
"","001
241","94","3.022","20.2","14.9","30.9","17.0","10.6",".","2.1","4.3",".",".",".",".",".",".",".","."
"","241
002","95","2.947","7.4","18.9","37.9","25.3","9.5",".",".",".",".",".",".",".",".","1.1",".","."
"Introductory Ethics","Course Total","189","2.984","13.8","16.9","34.4","21.2","10.1",".","1.1","2.1",".",".",".",".",".","0.5",".","."
"Philosophy of the Arts","001
253","44","3.207","27.3","20.5","27.3","9.1","6.8",".","2.3","2.3",".",".",".",".","2.3","2.3",".","."
"Humanity, Religion&Society","258
001","44","3.085","25.0","6.8","31.8","18.2","11.4",".",".","6.8",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261
001","60","3.429","38.3","25.0","21.7","1.7","5.0",".","1.7","5.0",".",".",".",".",".",".",".","1.7"
"","341
001","100","3.454","29.0","45.0","20.0","2.0",".",".","2.0","1.0",".",".",".",".",".","1.0",".","."
"","002
341","98","3.137","11.2","24.5","48.0","8.2","4.1","1.0",".","3.1",".",".",".",".",".",".",".","."
"","341
091","20","3.550","25.0","60.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","092
341","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","19","3.605","31.6","57.9","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","18","3.583","50.0","38.9","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","095
341","15","3.167","33.3","20.0","26.7","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","096
341","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","301","3.409","30.2","35.2","25.9","4.0","1.3","0.7","1.0","1.3",".",".",".",".",".","0.3",".","."
"Hist of Ancient Philosophy","430
001","54","3.060","13.0","22.2","35.2","14.8","3.7","3.7",".","1.9",".",".",".",".",".","5.6",".","."
"History-Modern Philosophy","432
001","56","2.575","17.9","10.7","25.0","5.4","17.9","10.7","7.1","1.8","1.8",".",".",".","1.8",".",".","."
"French Philos-Existentialsm","440
001","58","3.302","24.1","37.9","22.4","8.6","5.2","1.7",".",".",".",".",".",".",".",".",".","."
"Moral Philos & the Holocaust","442
001","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Philosophers","464
001","22","3.857","68.2","27.3",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","26","3.167","11.5","30.8","30.8","15.4","3.8",".",".","3.8",".",".",".",".",".","3.8",".","."
"Symbolic Logic","511
001","12","2.773","41.7","8.3","8.3",".","16.7",".","16.7",".",".",".",".",".",".","8.3",".","."
"Language and Meaning","516
001","22","2.955","13.6","13.6","45.5","22.7",".",".","4.5",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","24","3.182","33.3","29.2","12.5","4.2",".","8.3","4.2","4.2",".",".",".",".",".",".",".","4.2"
"Modern Philosophies of Ed","540
001","14","3.192","14.3","28.6","35.7","7.1","7.1",".",".",".",".",".",".",".","7.1",".",".","."
"Philos Concepts-Tch&Learng","545
001","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 259 of 382",""
