"","775
009","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","775
017","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","775
020","5","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Externship","Course Total","10","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"PATH-BIO
703","Dept. Total","526","3.429","28.7","30.4","23.0","4.4","3.8","0.2","",".","9.5",".",".",".",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","1","3.500",".","100.0",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","2","3.750","50.0","50.0",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","5","",".",".",".",".",".",".","",".","100.0",".",".",".",".","",".",".",".","."
"Prof Yr 1","","2","2.750",".",".","50.0","50.0",".",".","",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 2","","539","3.426","26.0","29.5","22.3","4.1","3.7","0.2","",".",".",".",".",".","14.3","",".",".",".","."
"Prof Yr 4","","55","4.000","18.2",".",".",".",".",".","",".","81.8",".",".",".",".","",".",".",".","."
"Professionals","","596","3.428","25.2","26.7","20.3","3.9","3.4","0.2","",".","7.6",".",".",".","12.9","",".",".",".","."
"","Dept. Total","603","3.429","25.0","26.5","20.1","3.8","3.3","0.2","",".","8.3",".",".",".","12.8","",".",".",".","."
