"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299","017","","43","3.860","86.0","2.3","9.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","45","3.870","86.7","2.2","8.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"318
Principles-Wildlife Ecology","001","","165","2.644","9.1","15.8","24.2","18.2","20.6","10.3","0.6","0.6",".",".",".",".",".",".",".","0.6"
"319
Ecol Prin Appl to Wildlife","001","","49","3.458","42.9","22.4","20.4","10.2",".","2.0",".",".",".",".",".",".",".",".",".","2.0"
"360
Extinction of Species","001","","59","3.186","30.5","22.0","22.0","8.5","15.3","1.7",".",".",".",".",".",".",".",".",".","."
"401
Physiologicl Animal Ecology","001","","34","2.838","5.9","20.6","32.4","23.5","14.7","2.9",".",".",".",".",".",".",".",".",".","."
"527
Ecosystem Management","001","","21","3.600","57.1","4.8","28.6","4.8",".",".",".",".",".",".",".",".","4.8",".",".","."
"548
Diseases of Wildlife","001","","42","2.976","14.3","16.7","45.2","7.1","11.9","4.8",".",".",".",".",".",".",".",".",".","."
"561
Wildlife Management Tech","001","","36","3.597","72.2","2.8","13.9",".","8.3","2.8",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Wildlife Ecol Teachng","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"Research and Thesis","Course Total","","23","",".",".",".",".",".",".",".","87.0",".",".",".","13.0",".",".",".","."
