"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","2464","3.341","32.8","18.1","21.3","11.0","7.8","0.8","0.5","1.5","",".","4.8",".","0.9","0.4","0.1","0.0","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","3","3.375","33.3","33.3","33.3",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","42","2.959","23.8","19.0","23.8","9.5","7.1","4.8","2.4","2.4","",".",".",".",".",".","4.8",".","2.4"
"Junior","","148","3.171","24.3","23.6","30.4","11.5","5.4","2.0","0.7","1.4","",".",".",".",".",".",".",".","0.7"
"Senior","","203","3.271","35.0","16.7","25.6","8.4","11.3","1.5","0.5","1.0","",".",".",".",".",".",".",".","."
"Undergraduates","","396","3.208","29.8","19.7","27.3","9.6","8.6","2.0","0.8","1.3","",".",".",".",".",".","0.5",".","0.5"
"Special","","32","3.309","53.1","3.1","6.3","18.8","9.4",".","3.1","3.1","",".",".",".",".","3.1",".",".","."
"Graduate","","131","3.806","45.0","9.9","0.8","0.8",".",".",".","24.4","",".",".",".","16.0","3.1",".",".","."
"Prof Yr 1","","448","3.158","44.2","19.6","17.6","10.0","4.9","0.2","1.1",".","",".","1.3",".","0.7","0.2",".",".","."
"Prof Yr 2","","1015","3.062","29.4","15.1","21.4","11.6","9.7","1.1","0.2",".","",".","11.1",".","0.1","0.3",".","0.1","."
"Prof Yr 3","","572","3.234","47.9","13.8","21.9","10.3","5.9",".","0.2",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","201","3.866","78.6","16.4","2.5","1.5","1.0",".",".",".","",".",".",".",".",".",".",".","."
"Professionals","","2236","3.356","41.5","15.8","19.1","10.1","7.0","0.5","0.4",".","",".","5.3",".","0.2","0.2",".","0.0","."
"","College Total","2795","3.341","40.1","15.9","19.2","9.7","6.9","0.7","0.4","1.4","",".","4.3",".","0.9","0.3","0.1","0.0","0.1"
