"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","852
004","","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","852
005","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","852
007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","","57","3.653","28.1","12.3","8.8","1.8",".",".",".","49.1",".",".",".",".",".",".",".","."
"","854
001","","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","","8","3.929","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","854
004","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
009","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
010","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Program","Course Total","","98","3.939","11.2","1.0",".",".",".",".",".","87.8",".",".",".",".",".",".",".","."
"Collctv Bargng-Negotn Proc","857
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","860
001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","860
002","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"Advanced Criminal Procedure","Course Total","","24","3.924","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Institutionalized Persons","862
001","","71","",".",".",".",".",".",".",".","98.6",".",".",".",".","1.4",".",".","."
"International Trade Law","871
001","","20","3.545","30.0","5.0","15.0","5.0",".",".",".","45.0",".",".",".",".",".",".",".","."
"Client Counselling","880
001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wis Environmntl Law Journal","894
001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","","93","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","","36","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","","77","",".",".",".",".",".",".",".","98.7",".",".",".",".","1.3",".",".","."
"","904
002","","25","3.739","60.0","16.0","16.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"","904
003","","10","3.737","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","20.0","."
"Constitutional Law Seminar","Course Total","","35","3.739","54.3","22.9","11.4",".",".",".",".","5.7",".",".",".",".",".",".","5.7","."
"Bioethics and the Law","905
001","","8","3.833","50.0","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".","12.5","."
"Seminar-Psychiatry and Law","911
001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meths-Disputes Settlement","912
001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915
001","","18","3.765","72.2","5.6","11.1","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"","915
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915
003","","10","3.300","20.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","","35","3.717","62.9","14.3","11.4","8.6",".",".",".",".",".",".",".",".","2.9",".",".","."
"Problems: Intl Law Seminar","918
001","","9","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"The Holocaust:Facts, Trials","919
001","","14","3.500","35.7","28.6","21.4","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"Legal Profession","934
001","","23","3.605","34.8","30.4","17.4",".",".",".",".","17.4",".",".",".",".",".",".",".","."
"Problems in Family Law-Smr","939
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","940
001","","30","3.426","26.7","20.0","26.7",".","3.3",".",".","23.3",".",".",".",".",".",".",".","."
"","940
002","","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 312 of 382",""
