"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Smr-Strategic Communication","002","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Independent Research","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"L SC COM
120","Dept. Total","","475","3.544","46.7","25.1","15.8","3.6","1.9","0.8","0.4","3.4",".","0.8",".",".","0.6","0.8",".","."
