"HISTORY OF SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"Great Scientists","100","001","","39","3.069","28.2","10.3","25.6","12.8","10.3","5.1",".","7.7",".",".",".",".",".",".",".","."
"Fr Hon Sm:Hist Sci,Tech,Med","180","001","","10","3.400","10.0","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Origins-Scientific Thought","201","001","","90","3.093","20.0","18.9","37.8","5.6","10.0","2.2","1.1","3.3",".",".",".",".",".",".",".","1.1"
"Sci in 20th C:Hist Overview","203","001","","78","2.370","3.8","14.1","16.7","16.7","24.4","16.7","1.3","5.1",".",".",".",".",".",".",".","1.3"
"The Sciences of Man","205","001","","68","3.698","61.8","13.2","13.2","1.5","2.9",".",".","2.9",".",".",".",".",".",".","2.9","1.5"
"Ag&Soc Change-Western Hist","230","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","","19","3.250","31.6","21.1","5.3","10.5","15.8",".",".","10.5",".",".",".",".","5.3",".",".","."
"Spec Topics-Hist of Science","350","001","","16","3.344","25.0","37.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"History of Cartography","371","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Mathematics","473","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","","10","2.778",".","40.0","30.0",".","10.0",".","10.0",".",".",".",".",".","10.0",".",".","."
"Health, Disease&Healing II","508","001","","12","3.091","8.3","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".","8.3",".","."
"Dev Public Health-America","509","001","","10","3.313","20.0","40.0",".","10.0","10.0",".",".",".",".",".",".",".","20.0",".",".","."
"Greek & Roman Med & Phcy","561","001","","26","2.760","7.7",".","57.7","7.7","19.2","3.8",".","3.8",".",".",".",".",".",".",".","."
"Studies in Early Modern Sci","623","001","","6","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Topics in History of Med","668","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Historiography & Methods","720","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Aspects-Dev of Sci","913","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Science Colloq","950","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","12","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"","999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","","4","***","","","","","","","","","","","","","","","",""
