"TERM : 1012","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2000-2001","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"HEBREW (HEBREW AND SEMITI Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","",""
"HEBR ST
Dept. Total
440","286","3.412","40.2","24.1","17.5","6.3","3.5","1.0","1.7","3.8","0.3",".","",".","0.3","",".",".",".","1.0"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","",""
"Freshmen","54","3.534","46.3","27.8","20.4","1.9","1.9",".","1.9",".",".",".","",".",".","",".",".",".","."
"Sophomore","69","3.377","44.9","15.9","23.2","4.3","2.9",".","4.3",".",".",".","",".",".","",".",".",".","4.3"
"Junior","46","3.369","37.0","30.4","17.4","8.7","2.2","4.3",".",".",".",".","",".",".","",".",".",".","."
"Senior","65","3.334","41.5","20.0","13.8","9.2","6.2","1.5","1.5","6.2",".",".","",".",".","",".",".",".","."
"Undergraduates","234","3.403","42.7","22.6","18.8","6.0","3.4","1.3","2.1","1.7",".",".","",".",".","",".",".",".","1.3"
"Special","13","3.798","53.8","38.5",".",".",".",".",".","7.7",".",".","",".",".","",".",".",".","."
"Graduate","39","3.315","20.5","28.2","15.4","10.3","5.1",".",".","15.4","2.6",".","",".","2.6","",".",".",".","."
"Dept. Total","286","3.412","40.2","24.1","17.5","6.3","3.5","1.0","1.7","3.8","0.3",".","",".","0.3","",".",".",".","1.0"
