"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","215","2.951","15.3","11.2","48.4","6.0","16.3","1.9","0.9",".",".",".",".",".",".",".",".","."
"","002
300","215","3.095","17.2","11.6","55.8","5.6","8.8","0.9",".",".",".",".",".",".",".",".",".","."
"","003
300","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
300","115","3.087","34.8","13.0","20.9","7.8","18.3","5.2",".",".",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","551","3.046","20.9","11.8","45.0","6.2","13.6","2.2","0.4",".",".",".",".",".",".",".",".","."
"","305
001","90","3.272","37.8","11.1","34.4","7.8","6.7","1.1","1.1",".",".",".",".",".",".",".",".","."
"","305
002","78","2.981","25.6","14.1","30.8","7.7","12.8","5.1","2.6","1.3",".",".",".",".",".",".",".","."
"","305
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","171","3.150","32.7","12.9","32.2","7.6","9.4","2.9","1.8","0.6",".",".",".",".",".",".",".","."
"","365
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
004","10","3.652","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","11","3.635","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
129","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
133","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","11","3.500","72.7","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","53","3.783","60.4","34.0","3.8",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","29","3.286","10.3","34.5","51.7",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","420
001","45","3.400","26.7","37.8","26.7","6.7","2.2",".",".",".",".",".",".",".",".",".",".","."
"","002
420","35","3.371","22.9","45.7","25.7",".","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","80","3.388","25.0","41.3","26.3","3.8","2.5","1.3",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","001
422","39","3.357","28.2","23.1","30.8","12.8",".",".",".","5.1",".",".",".",".",".",".",".","."
"","423
001","43","3.384","23.3","37.2","32.6","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
423","26","3.220","26.9","38.5","19.2","3.8",".",".","7.7","3.8",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","69","3.324","24.6","37.7","27.5","5.8",".",".","2.9","1.4",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","001
610","44","3.511","43.2","20.5","34.1",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","613
001","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
002","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","Course Total","37","3.757","64.9","21.6","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","26","3.615","38.5","50.0","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","700
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","29","3.569","37.9","44.8","10.3","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","001
701","45","3.733","62.2","22.2","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","45","3.864","80.0","8.9","8.9",".",".",".",".",".",".",".",".",".",".","2.2",".","."
"Motivational Effectiveness","Course Total","90","3.798","71.1","15.6","12.2",".",".",".",".",".",".",".",".",".",".","1.1",".","."
"","702
001","40","3.663","60.0","27.5","10.0",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"","702
002","42","3.732","66.7","14.3","11.9","4.8",".",".",".",".",".",".",".",".",".","2.4",".","."
"Leadership Effectiveness","Course Total","82","3.698","63.4","20.7","11.0","2.4",".",".","1.2",".",".",".",".",".",".","1.2",".","."
"Global Issues in Management","703
001","23","3.652","47.8","34.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","27","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713
001","42","3.440","14.3","59.5","26.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713
002","34","3.515","26.5","50.0","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 55 of 382"
