"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"","133
006","23","3.778","52.2","17.4","8.7",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","114","3.680","46.5","21.9","13.2","0.9","0.9",".",".","14.9","0.9",".",".",".",".",".",".","0.9"
"","134
001","17","3.115","5.9","23.5","35.3","5.9","5.9",".",".","23.5",".",".",".",".",".",".",".","."
"","134
002","18","3.611","55.6","27.8","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","134
003","22","3.714","59.1","22.7","9.1","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","004
134","13","3.727","69.2",".","7.7",".","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"","005
134","16","4.000","81.3",".",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"","134
006","20","3.861","70.0","15.0","5.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","134
007","26","3.880","80.8","11.5",".","3.8",".",".",".",".","3.8",".",".",".",".",".",".","."
"","134
008","16","3.467","37.5","18.8","31.3","6.3",".",".",".",".",".",".",".",".",".",".","6.3","."
"Relaxation Tech & Exercise","Course Total","148","3.694","58.8","15.5","10.8","3.4","2.0",".",".","8.1","0.7",".",".",".",".",".","0.7","."
"","001
138","13","3.833","46.2","23.1",".",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"","138
002","13","3.500","53.8","15.4",".",".",".",".","7.7","23.1",".",".",".",".",".",".",".","."
"","003
138","11","3.625","27.3","36.4","9.1",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","138
004","13","3.583","15.4","23.1","7.7",".",".",".",".","53.8",".",".",".",".",".",".",".","."
"","005
138","11","3.400","18.2",".","27.3",".",".",".",".","54.5",".",".",".",".",".",".",".","."
"","138
006","14","3.889","57.1",".","7.1",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"Golf I","Course Total","75","3.660","37.3","16.0","8.0",".",".",".","1.3","37.3",".",".",".",".",".",".",".","."
"Mvmnt Fund-Vocl&Musicl Perf","139
001","13","2.625",".","15.4","23.1","23.1","30.8",".",".","7.7",".",".",".",".",".",".",".","."
"","140
001","13","3.833","69.2","15.4","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","140
002","18","3.625","27.8",".","16.7",".",".",".",".","50.0","5.6",".",".",".",".",".",".","."
"","003
140","17","3.583","35.3","23.5","5.9",".","5.9",".",".","29.4",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","48","3.688","41.7","12.5","10.4",".","2.1",".",".","31.3","2.1",".",".",".",".",".",".","."
"Ice Skating II","145
001","13","3.722","38.5","23.1","7.7",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"","155
001","21","3.389","19.0","33.3","28.6","4.8",".",".",".","14.3",".",".",".",".",".",".",".","."
"","155
002","14","3.333","21.4","57.1",".",".",".",".","7.1","14.3",".",".",".",".",".",".",".","."
"Badminton I","Course Total","35","3.367","20.0","42.9","17.1","2.9",".",".","2.9","14.3",".",".",".",".",".",".",".","."
"","157
001","19","3.400","15.8","42.1","15.8",".","5.3",".",".","21.1",".",".",".",".",".",".",".","."
"","157
002","23","3.417","17.4","30.4","30.4",".",".",".",".","17.4",".",".",".",".",".",".","4.3","."
"","157
003","24","3.381","20.8","37.5","16.7","12.5",".",".",".","8.3",".",".",".",".",".","4.2",".","."
"","157
004","16","3.464","43.8","31.3","6.3",".",".",".","6.3","12.5",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","82","3.412","23.2","35.4","18.3","3.7","1.2",".","1.2","14.6",".",".",".",".",".","1.2","1.2","."
"","162
001","14","3.667","21.4","14.3","7.1",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"","162
002","24","3.735","50.0","12.5","4.2",".","4.2",".",".","25.0",".",".",".",".",".","4.2",".","."
"","003
162","12","3.625","8.3","25.0",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","004
162","14","3.625","14.3","7.1","7.1",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"","162
005","14","3.389","21.4","14.3","21.4","7.1",".",".",".","35.7",".",".",".",".",".",".",".","."
"Tennis I","Course Total","78","3.625","26.9","14.1","7.7","1.3","1.3",".",".","47.4",".",".",".",".",".","1.3",".","."
"","001
163","12","3.773","58.3","25.0","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","163
002","7","3.600","28.6","28.6","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","003
163","12","3.636","58.3","8.3","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","31","3.685","51.6","19.4","12.9","3.2",".",".",".","12.9",".",".",".",".",".",".",".","."
"Basketball I","001
170","18","3.219","38.9","5.6","33.3",".","5.6",".","5.6","11.1",".",".",".",".",".",".",".","."
"Soccer I","173
001","25","3.696","52.0","24.0","16.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
