"BIOMOLECULAR CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","",""
"314
Intro to Human Biochemistry","001","","137","3.208","36.5","12.4","30.7","5.8","10.9","2.9","0.7",".",".",".",".",".",".",".",".","."
"675
Adv/Spec Topics:Biomol Chem","001","","9","3.684","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","27","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","28","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Research Problems","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Comprehensive Human Biochem","001","","160","3.516","43.8","20.0","32.5","1.9",".",".","0.6",".",".",".",".",".","1.3",".",".","."
"900","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","018","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Biomoleclr Chem Journl Club","Course Total","","28","3.935","71.4","10.7",".",".",".",".",".","17.9",".",".",".",".",".",".",".","."
"901
Biomolecular Chem Seminar","001","","44","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","11","",".",".",".",".",".",".",".","54.5",".",".",".","45.5",".",".",".","."
"Adv Biomoleclr Chem & Rsrch","Course Total","","55","",".",".",".",".",".",".",".","76.4",".",".",".","23.6",".",".",".","."
