"","999
084","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
087","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
088","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
089","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","28","3.944","71.4","3.6","3.6",".",".",".",".","21.4",".",".","",".",".",".",".",".","."
"HISTORY
448","Dept. Total","3804","3.267","26.6","26.6","25.6","8.5","4.4","0.9","1.2","3.7","0.0",".","",".","1.3","0.3","0.4","0.4","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","221","3.184","22.6","29.0","26.7","12.2","6.8","0.9","0.9",".",".",".","",".",".",".","0.5","0.5","."
"Sophomore","","818","3.185","20.4","29.2","31.4","10.8","4.8","0.9","1.5","0.1",".",".","",".",".",".","0.2","0.4","0.4"
"Junior","","1061","3.250","25.4","28.4","27.7","9.0","6.6","0.7","0.9","0.7",".",".","",".",".",".","0.5","0.1","0.2"
"Senior","","1303","3.265","27.2","27.6","26.6","8.7","3.3","1.3","1.5","2.5","0.1",".","",".",".","0.2","0.4","0.2","0.4"
"Undergraduates","","3403","3.235","24.7","28.3","28.1","9.5","4.9","1.0","1.3","1.2","0.0",".","",".",".","0.1","0.4","0.2","0.3"
"Special","","62","3.540","24.2","9.7","4.8","3.2",".",".","1.6","48.4",".",".","",".",".",".","1.6","6.5","."
"Graduate","","333","3.858","46.8","11.4","3.0",".",".",".",".","21.6",".",".","",".","14.7","2.1",".","0.3","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","100.0","."
"Prof Yr 3","","4","3.115",".","25.0","75.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","6","3.188",".","33.3","50.0",".",".",".",".",".",".",".","",".",".",".",".","16.7","."
"","Dept. Total","3804","3.267","26.6","26.6","25.6","8.5","4.4","0.9","1.2","3.7","0.0",".","",".","1.3","0.3","0.4","0.4","0.3"
