"First Yr Cen Asian Lang I","331
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intensive Kazakh I","365
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Prosmr:Rise-Cen Asian Natns","540
001","","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar in Turkic Philology","950
001","","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CEN ASIA
218","Dept. Total","","23","3.507","47.8","17.4","17.4","4.3","",".","4.3","",".","8.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"218
CEN ASIA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","3.071",".","50.0",".","50.0","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","5","2.900","20.0","20.0","40.0",".","",".","20.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","1","4.000","100.0",".",".",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","3","3.300",".","66.7","33.3",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","11","3.189","18.2","36.4","27.3","9.1","",".","9.1","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.000",".",".","100.0",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","11","4.000","81.8",".",".",".","",".",".","",".","18.2","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","23","3.507","47.8","17.4","17.4","4.3","",".","4.3","",".","8.7","",".",".","",".","",".","",".",".",".","."
