"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.875","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Prosem-Chinese Literature","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading for Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"932
Smr-Chinese Linguistics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"951","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"951","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Chinese Literature","Course Total","","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","13","",".",".",".",".",".",".",".","53.8",".",".",".","46.2",".",".",".","."
