"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Communicating Technical Info","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch-Japanese Technical Lit","630
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching in Science & Engr","654
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
001","12","3.000","16.7","25.0","16.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"","002
690","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
004","19","2.806","10.5","15.8","36.8","10.5","15.8",".","5.3",".",".",".",".",".",".",".",".","5.3"
"","690
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
011","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
012","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
013","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
014","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
015","12","3.364","25.0","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"","690
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
023","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
024","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","026
690","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".",".",".","3.8","."
"Special Topics in E P D","Course Total","149","3.701","60.4","14.8","12.1","3.4","3.4",".","0.7","2.0",".",".",".",".","1.3",".","0.7","1.3"
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
042","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","3.800","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"E P D
348","Dept. Total","1209","3.612","50.0","29.9","11.4","4.0","1.4",".","0.6","0.3",".","1.2",".",".","0.6","0.1","0.1","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Freshmen","","679","3.507","43.4","33.1","13.7","5.9","2.1",".","0.7",".",".",".",".",".","0.4",".",".","0.6"
"Sophomore","","75","3.656","53.3","30.7","8.0","5.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"Junior","","98","3.718","66.3","19.4","10.2","1.0","1.0",".",".",".",".",".",".",".",".",".","1.0","1.0"
"Senior","","199","3.645","54.8","30.2","11.1","1.0",".",".","1.0",".",".","1.5",".",".",".","0.5",".","."
"Undergraduates","","1051","3.571","48.4","31.1","12.5","4.5","1.6",".","0.7",".",".","0.3",".",".","0.3","0.1","0.1","0.5"
"Special","","22","3.758","27.3","18.2",".","4.5",".",".",".","13.6",".","27.3",".",".","9.1",".",".","."
"Graduate","","135","3.825","65.9","22.2","5.2",".",".",".",".",".",".","4.4",".",".","1.5",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","1209","3.612","50.0","29.9","11.4","4.0","1.4",".","0.6","0.3",".","1.2",".",".","0.6","0.1","0.1","0.4"
