"ART EDUCATION (DEPT OF ART) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","",""
"Art in Elementary Education","323
001","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Secondary Education","324
001","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Elem School Art","423
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Secondary Sch Art","424
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Art","470
001","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Art","493
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art-Exceptional Education","570
001","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
061","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
070","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices in Art Ed","900
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Art Education","951
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","999
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ART ED
176","Dept. Total","126","3.869","75.4","21.4","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
