"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","15","3.433","40.0","13.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","024","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","21","3.941","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Lactation","001","","22","3.182","40.9","4.5","27.3","4.5","22.7",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","18","2.139","11.1",".","16.7","16.7","27.8","22.2","5.6",".",".",".",".",".",".",".",".","."
"313","001","","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"313","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","16","3.563","37.5","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","11","3.467","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","8","3.125","12.5","50.0","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"375","004","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","25","3.372","24.0","48.0","24.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"399","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"466
Dairy Cattle Breeding","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690
Proseminar","001","","15","3.467","33.3","40.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","23","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 15 of 391"
