"","999
007","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
032","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
052","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","3","***","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2289","3.144","27.6","21.1","20.4","12.3","7.2","2.3","1.0","4.9","0.1","0.1","",".","2.5","0.3","0.1",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","2.971","31.3","18.8","18.8","12.5","12.5",".","6.3",".",".",".","",".",".",".",".",".","."
"Sophomore","","206","3.101","34.0","21.8","16.5","14.1","7.8","2.9","2.9",".",".",".","",".",".",".",".",".","."
"Junior","","582","2.928","21.0","18.7","25.6","19.1","10.7","3.3","1.7",".",".",".","",".",".",".",".",".","."
"Senior","","907","3.066","22.6","22.5","26.8","14.9","9.0","3.0","0.7","0.1",".",".","",".",".","0.1","0.2",".","0.1"
"Undergraduates","","1711","3.023","23.5","21.1","25.1","16.2","9.5","3.0","1.3","0.1",".",".","",".",".","0.1","0.1",".","0.1"
"Special","","30","3.486","30.0","30.0","13.3","3.3","3.3",".",".",".",".",".","",".","3.3","16.7",".",".","."
"Graduate","","549","3.692","40.4","20.4","6.0","0.7","0.2",".","0.2","20.4","0.4","0.5","",".","10.2","0.4","0.2",".","."
"","Dept. Total","2290","3.144","27.6","21.0","20.3","12.3","7.2","2.3","1.0","4.9","0.1","0.1","",".","2.5","0.3","0.1",".","0.0"
