"L&S","","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","1988","3.057","25.2","18.3","21.8","10.5","8.0","3.1","2.9","8.4","0.1","1.0","0.2","0.2","",".","0.3","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","141","2.681","26.2","14.2","18.4","9.2","12.1","8.5","9.9",".",".",".",".",".","",".","0.7","0.7","."
"Sophomore","","360","2.829","14.7","16.1","32.2","15.0","11.4","6.4","2.8",".",".","0.6","0.3",".","",".","0.3","0.3","."
"Junior","","365","2.899","17.5","17.3","30.1","16.2","10.4","3.6","3.6",".","0.3","1.1",".",".","",".",".",".","."
"Senior","","509","3.009","22.4","21.4","24.0","13.4","10.0","2.6","3.1","1.2",".","1.6","0.4",".","",".",".",".","."
"Undergraduates","","1375","2.899","19.5","18.2","27.2","14.1","10.7","4.4","3.9","0.4","0.1","1.0","0.2",".","",".","0.1","0.1","."
"Special","","56","2.864","21.4","16.1","17.9","14.3","16.1","1.8","3.6","3.6",".",".",".",".","",".","1.8","1.8","1.8"
"Graduate","","557","3.670","39.5","18.7","9.0","1.1","0.7",".","0.4","28.5","0.2","1.1",".","0.5","",".","0.4",".","."
"","Dept. Total","1988","3.057","25.2","18.3","21.8","10.5","8.0","3.1","2.9","8.4","0.1","1.0","0.2","0.2","",".","0.3","0.2","0.1"
