"GEOLOGY & GEOPHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"875","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Geology","Course Total","","64","3.980","64.1",".","1.6",".",".",".",".","34.4",".",".",".",".",".",".",".","."
"929
Seminar-Hydrogeology","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"930
Seminar-Stratigraphy","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"990","019","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","022","","7","",".",".",".",".",".",".",".","28.6",".",".",".","71.4",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","64","",".",".",".",".",".",".",".","65.6",".",".",".","32.8",".",".","1.6","."
"999
Adv Independent Reading","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"GEOLOGY
420","Dept. Total","","1895","2.990","21.6","14.7","31.2","9.2","12.5","2.8","0.9","5.4",".","0.1",".","1.1","0.2","0.1","0.3","."
