"AMN","","","","","","","","","","","","","","","","","","","",""
"NAVAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","","",""
"Intro to Naval Science","101
001","","29","3.517","51.7","20.7","17.2",".","10.3",".",".",".",".",".",".",".",".",".",".","."
"","175
001","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","175
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Naval Lab I","Course Total","","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Naval Leadership&Management","201
001","","16","3.300","37.5","12.5","18.8","18.8","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","275
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Naval Lab I","Course Total","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","9","3.278","11.1","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
301","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Navigation & Operations I","Course Total","","16","3.344","25.0","31.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Amphibious Campaigns","350
001","","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"","375
001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Naval Lab I","Course Total","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Naval Weapons","001
401","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Naval Laboratory I","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Naval Lab I","Course Total","","4","***","","","","","","","","","","","","","","","",""
"NAV SCI
672","Dept. Total","","156","3.576","63.5","18.6","10.9","3.2","2.6",".",".","0.6",".",".",".",".",".",".","0.6","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"672
NAV SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","34","3.618","58.8","23.5","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","30","3.618","70.0","16.7","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","35","3.456","54.3","22.9","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","","59","3.619","71.2","15.3","6.8","5.1","1.7",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","158","3.576","64.6","19.0","10.8","3.2","2.5",".",".",".",".",".",".",".",".",".",".","."
"Special","","","2","",".",".",".",".",".",".",".","50.0",".",".",".",".",".",".","50.0","."
"","Dept. Total","","160","3.576","63.8","18.8","10.6","3.1","2.5",".",".","0.6",".",".",".",".",".",".","0.6","."
