"EDU","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","290","2.523","12.1","9.3","22.4","10.0","29.7","10.3","2.4","2.4","0.7",".",".",".",".","0.7",".","."
"","102
001","16","3.500","18.8","6.3","18.8",".",".",".",".","56.3",".",".",".",".",".",".",".","."
"","102
002","14","3.409","35.7",".","35.7","7.1",".",".",".","21.4",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","30","3.444","26.7","3.3","26.7","3.3",".",".",".","40.0",".",".",".",".",".",".",".","."
"","125
001","19","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
"","125
002","18","3.958","61.1","5.6",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","125
003","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
004","18","4.000","5.6",".",".",".",".",".",".","94.4",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","Course Total","78","3.964","16.7","1.3",".",".",".",".",".","82.1",".",".",".",".",".",".",".","."
"","127
001","16","3.389","12.5","25.0","12.5","6.3",".",".",".","43.8",".",".",".",".",".",".",".","."
"","127
002","19","3.300","10.5","21.1","15.8",".","5.3",".",".","42.1",".",".",".",".",".","5.3",".","."
"","003
127","19","3.438","5.3","26.3","10.5",".",".",".",".","57.9",".",".",".",".",".",".",".","."
"Bowling I","Course Total","54","3.370","9.3","24.1","13.0","1.9","1.9",".",".","48.1",".",".",".",".",".","1.9",".","."
"","129
001","17","3.929","70.6","11.8",".",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","129
002","16","3.773","43.8","18.8","6.3",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"","129
003","22","3.722","50.0","27.3",".",".","4.5",".",".","18.2",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","55","3.802","54.5","20.0","1.8",".","1.8",".",".","21.8",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","130
001","27","3.696","44.4","29.6","11.1",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"","131
001","19","3.538","42.1","5.3","10.5","5.3","5.3",".",".","26.3","5.3",".",".",".",".",".",".","."
"","002
131","22","3.053","18.2","22.7","13.6","22.7","4.5","4.5",".","9.1",".",".",".",".",".","4.5",".","."
"Cross Traing-Basic Fitness","Course Total","41","3.250","29.3","14.6","12.2","14.6","4.9","2.4",".","17.1","2.4",".",".",".",".","2.4",".","."
"","132
001","16","3.278","18.8","12.5","12.5","6.3","6.3",".",".","37.5",".",".",".",".",".","6.3",".","."
"","132
002","17","3.333","29.4","11.8","5.9",".",".",".","5.9","47.1",".",".",".",".",".",".",".","."
"","132
003","18","3.571","27.8","33.3","16.7",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","132
004","16","3.417","12.5","50.0","6.3",".","6.3",".",".","25.0",".",".",".",".",".",".",".","."
"","132
005","16","3.625","50.0","12.5",".","6.3","6.3",".",".","18.8","6.3",".",".",".",".",".",".","."
"","132
006","23","3.781","47.8","13.0","8.7",".",".",".",".","26.1",".",".",".",".",".","4.3",".","."
"Weight Training","Course Total","106","3.535","32.1","21.7","8.5","1.9","2.8",".","0.9","29.2","0.9",".",".",".",".","1.9",".","."
"","133
001","13","3.455","23.1","30.8","30.8",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","002
133","13","3.583","46.2","30.8","7.7",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"","133
003","15","3.071","26.7","40.0","13.3",".",".",".","13.3","6.7",".",".",".",".",".",".",".","."
"","133
004","25","3.643","28.0","16.0","12.0",".",".",".",".","40.0",".",".",".",".",".","4.0",".","."
"","005
133","18","3.850","38.9","16.7",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","84","3.500","32.1","25.0","11.9",".","1.2",".","2.4","26.2",".",".",".",".",".","1.2",".","."
"","001
134","24","3.200","54.2","4.2","8.3","4.2",".",".","12.5","12.5",".",".",".",".","4.2",".",".","."
"","002
134","24","4.000","54.2",".",".",".",".",".",".","45.8",".",".",".",".",".",".",".","."
"","003
134","22","3.500","27.3","31.8","27.3",".",".",".",".","9.1",".",".",".",".",".",".","4.5","."
"","134
004","18","3.353","11.1","55.6","22.2",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","134
005","24","3.529","12.5","50.0","8.3",".",".",".",".","25.0",".",".",".",".",".",".","4.2","."
"Relaxation Tech & Exercise","Course Total","112","3.483","33.0","26.8","12.5","0.9","0.9",".","2.7","20.5",".",".",".",".","0.9",".","1.8","."
"","004
138","17","3.750","35.3","17.6","5.9",".",".",".",".","35.3","5.9",".",".",".",".",".",".","."
"","138
005","14","3.850","50.0","21.4",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","138
006","17","3.050",".","23.5","23.5","5.9","5.9",".",".","41.2",".",".",".",".",".",".",".","."
"","138
007","16","3.000",".","18.8","12.5","18.8",".",".",".","50.0",".",".",".",".",".",".",".","."
