"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","",""
"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","76","3.743","65.8","21.1","9.2","3.9",".",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","36","3.278","33.3","22.2","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","36","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","57","3.588","50.9","28.1","15.8","1.8","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","55","3.300","23.6","30.9","30.9","10.9","3.6",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","43","3.756","67.4","18.6","11.6","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Design I","466","001","","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","","46","3.793","67.4","23.9","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Control-Indust Sys","511","001","","26","3.500","42.3","15.4","34.6","3.8",".",".",".",".",".",".",".",".",".",".","3.8","."
"Analysis-Capital Investment","513","001","","42","3.488","52.4","7.1","23.8","11.9","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","61","3.746","60.7","27.9","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","","39","3.282","20.5","38.5","23.1","12.8","5.1",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","13","3.000","30.8",".","30.8","15.4","7.7","7.7",".",".",".",".",".",".",".","7.7",".","."
"Ergonomcs-Manufact&Industry","564","001","","18","3.278","16.7","33.3","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","002","","42","3.548","38.1","40.5","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","002","","25","3.740","52.0","44.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Tools & Envirnmt-Optimizatn","635","001","","15","3.429","20.0","40.0","33.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Labor-Mgt Relations-Engrs","650","001","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociotechnical Systems","652","001","","38","3.395","31.6","26.3","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","","40","3.321","15.0","37.5","40.0","5.0",".",".",".","2.5",".",".",".",".",".",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","004","","27","3.865","70.4","25.9",".",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"","691","005","","7","3.737","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","019","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","40","3.865","70.0","27.5",".",".",".",".",".",".",".",".",".",".",".","2.5",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","7","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"","699","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
