"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"380","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Proseminar","Course Total","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"400","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"400","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biology","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Compar Anatomy-Vertebrates","001","","101","3.100","26.7","10.9","34.7","14.9","8.9","3.0",".","1.0",".",".",".",".",".",".",".","."
"460
General Ecology","001","","56","2.634","12.5","7.1","35.7","12.5","23.2","3.6","5.4",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","45","2.789","28.9","6.7","20.0","4.4","28.9","11.1",".",".",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","125","3.480","47.2","22.4","20.8","3.2","4.0","2.4",".",".",".",".",".",".",".",".",".","."
"531
Ethology Laboratory","001","","19","3.289","42.1","21.1","15.8","15.8",".",".","5.3",".",".",".",".",".",".",".",".","."
"570
Cell Biology","001","","158","2.820","25.9","5.1","29.1","7.0","24.1","7.6","1.3",".",".",".",".",".",".",".",".","."
"619
Biology of Mind","001","","68","3.552","35.3","47.1","13.2",".","1.5","1.5",".",".",".",".",".",".",".",".","1.5","."
"630
Cellulr Signal Transductn Mech","001","","6","3.200","16.7",".","66.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"635
Neurobiology of Disease","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"679","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis Progress Seminar","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","11","3.912","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","048","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","059","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","Course Total","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","009","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
