"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Watercolor I","242
001","","11","3.591","45.5","45.5",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","15","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","14","2.893","7.1","42.9","14.3","21.4","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","244
003","","17","3.588","58.8","23.5","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","46","3.315","30.4","34.8","19.6","6.5","6.5",".","2.2",".",".",".",".",".",".",".",".","."
"","246
001","","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","246
002","","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lettering","Course Total","","30","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
001","","20","3.675","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","","18","3.556","33.3","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Color","Course Total","","38","3.618","39.5","50.0","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
312","","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","25","3.680","60.0","20.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","316
001","","12","3.125","8.3","25.0","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Nonstatic Forms","318
001","","11","3.273","36.4","36.4","9.1",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","322
001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","22","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","001
324","","19","3.417","26.3","26.3","42.1",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Etching","326
001","","13","3.231","7.7","53.8","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","328
001","","10","3.150","40.0","10.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","002
328","","15","3.536","53.3","20.0","6.7",".","13.3",".",".",".",".",".",".",".",".","6.7",".","."
"Computer in the Visual Arts","Course Total","","25","3.375","48.0","16.0","12.0","8.0","8.0","4.0",".",".",".",".",".",".",".","4.0",".","."
"","332
001","","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
332","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","22","3.705","59.1","27.3","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Art Metal II","344
001","","8","2.875","25.0",".","62.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","346
001","","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","19","3.579","47.4","31.6","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","11","3.636","81.8",".",".",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","","27","3.685","70.4","14.8","3.7","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","376
001","","15","3.667","53.3","40.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","15","3.567","60.0","13.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 73 of 391"
