"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"363
Prin&Pract-Stage Costume Dsgn","001","","22","3.514","27.3","50.0","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"366","001","","12","3.213","25.0","50.0",".","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"366","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","","15","3.357","40.0","40.0",".","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"368
Fundamentals of Directing","001","","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Drafting for the Theatre","001","","12","2.776","16.7","25.0","25.0","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"379
Stage Management","001","","13","3.500","76.9",".","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"420
Theatre and Society","001","","13","3.333","23.1","30.8","23.1","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"426
Theatre for Young Audiences","001","","16","3.580","43.8","25.0","18.8","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"429
Modern Indian Theatre","001","","7","3.500","28.6","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"469
Interdis Studies in the Arts","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
Drama of Europe: 1650-1850","001","","21","3.400","28.6","23.8","38.1","4.8",".",".",".","4.8",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","48","3.921","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"569
Interdis Studies in the Arts","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Specl Topics-Theatre&Drama","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"669
Interdis Studies in the Arts","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"670
Adv Study-Theatre Dsgn&Tech","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","3.789","58.8","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"700
Prosem: Intro Rsch-Theatre","001","","22","3.619","50.0","18.2","27.3",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"740
Voice Training","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Graduate Acting","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Independent Study","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"822
Shakespeare Smr:Thry&Pract","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Smr-Probs in Theatre&Drama","001","","7","3.583","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Collaboratv Design&Tech Studio","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 306 of 391",""
