"","990
096","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
097","5","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
099","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","100","",".",".",".",".",".",".",".","91.0",".",".",".","9.0","",".",".",".","."
"PHYSICS
754","Dept. Total","2860","3.007","23.6","18.9","21.2","15.3","12.8","3.2","0.9","3.7",".","0.0",".","0.3","",".","0.0",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","216","3.178","26.9","26.4","23.1","13.0","7.9","1.9","0.9",".",".",".",".",".","",".",".",".","."
"Sophomore","","808","2.952","19.2","20.5","23.1","17.7","15.6","3.1","0.7",".",".",".",".",".","",".",".",".","."
"Junior","","922","2.906","17.8","19.7","23.8","17.2","15.3","4.9","1.1","0.1",".",".",".",".","",".","0.1",".","."
"Senior","","520","2.921","19.8","17.7","23.1","19.2","15.2","3.5","1.0","0.4",".","0.2",".",".","",".",".",".","."
"Undergraduates","","2466","2.949","19.5","20.2","23.4","17.4","14.7","3.7","0.9","0.1",".","0.0",".",".","",".","0.0",".","."
"Special","","35","2.910","22.9","8.6","28.6","22.9","5.7",".","5.7","5.7",".",".",".",".","",".",".",".","."
"Graduate","","365","3.800","52.1","11.0","5.2","0.3","0.3",".","0.3","28.2",".",".",".","2.5","",".",".","0.3","."
"","Dept. Total","2866","3.007","23.7","18.8","21.1","15.3","12.8","3.2","0.9","3.8",".","0.0",".","0.3","",".","0.0","0.0","."
