"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
047","13","3.500","15.4","69.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","048
100","12","3.208","33.3","8.3","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
049","12","2.958",".","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
051","9","3.222","11.1","44.4","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","100
052","14","3.250","21.4","50.0","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100
055","14","3.179","7.1","42.9","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
056","14","3.214","21.4","35.7","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
057","13","3.192","15.4","38.5","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
058","15","3.300","6.7","46.7","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","059
100","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
060","13","3.308","15.4","46.2","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
061","13","3.192","15.4","38.5","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"","100
062","13","2.923","7.7","7.7","53.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
063","15","3.167","6.7","40.0","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","789","3.146","12.2","36.0","33.5","10.9","5.2","1.5","0.6",".",".",".",".",".","0.1",".",".","."
"","105
001","17","2.971","11.8","29.4","23.5","11.8","23.5",".",".",".",".",".",".",".",".",".",".","."
"","002
105","16","3.094","6.3","50.0","25.0","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","105
003","19","3.316","10.5","57.9","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","105
004","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
105","18","3.028","22.2","27.8","22.2","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","105
006","14","2.923","7.1","28.6","42.9",".","7.1",".","7.1","7.1",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","98","3.134","14.3","38.8","27.6","6.1","9.2","1.0","2.0","1.0",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181
001","18","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","001
250","235","2.944","10.2","25.1","33.6","18.3","7.2","3.4","1.7",".",".",".",".",".",".","0.4",".","."
"Communication & Human Behav","260
001","159","3.318","21.4","39.6","27.0","6.9","2.5",".","1.3",".",".",".",".",".",".","1.3",".","."
"Thry&Pract-Argument&Debate","262
001","90","3.239","14.4","37.8","33.3","4.4","7.8",".",".","1.1",".",".",".",".",".","1.1",".","."
"Thry&Pract-Group Discussion","266
001","95","3.463","35.8","32.6","26.3",".","3.2",".","1.1",".",".",".",".",".",".","1.1",".","."
"Intro-Interpersonal Com","272
001","126","3.655","59.5","22.2","13.5","2.4","0.8","1.6",".",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346
001","107","3.413","35.5","33.6","16.8","4.7","2.8","0.9","1.9","3.7",".",".",".",".",".",".",".","."
"Introduction to Film","350
001","165","2.856","7.9","24.2","27.9","21.2","13.3","2.4","1.8","0.6",".",".",".",".","0.6",".",".","."
"Introduction to Television","351
001","157","3.240","22.9","29.3","29.9","10.8","4.5","1.9",".",".",".",".",".",".",".","0.6",".","."
"History of World Cinema","352
001","62","2.685","6.5","12.9","35.5","27.4","8.1","6.5","3.2",".",".",".",".",".",".",".",".","."
"Intro to Video Production","355
001","115","3.193","11.3","40.0","36.5","7.0","1.7","0.9","1.7","0.9",".",".",".",".",".",".",".","."
"History of Documentary Film","358
001","22","3.068","22.7","18.2","40.9","4.5","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"Intro to Rhetorical Thry&Crit","360
001","108","3.130","17.6","25.0","38.0","12.0","5.6",".","1.9",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368
001","99","3.197","14.1","32.3","34.3","17.2","2.0",".",".",".",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","001
371","57","3.202","19.3","36.8","24.6","7.0","10.5","1.8",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374
001","24","2.896","8.3","20.8","37.5","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450
001","40","3.154","15.0","25.0","47.5","5.0","2.5",".","2.5","2.5",".",".",".",".",".",".",".","."
"Media and Cultural Policy","001
452","16","3.337","31.3","12.5","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","457
001","111","3.108","10.8","30.6","43.2","7.2","6.3",".","1.8",".",".",".",".",".",".",".",".","."
"Global Media Cultures","458
001","47","2.845","6.4","29.8","23.4","14.9","23.4",".","2.1",".",".",".",".",".",".",".",".","."
"Avant-Garde Film","463
001","44","3.250","29.5","20.5","25.0","20.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 177 of 391",""
