"","990
021","5","***","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","2","***","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","10","",".",".",".",".",".","",".","",".","60.0",".",".",".","40.0",".",".",".","."
"Advanced Independent Study","999
065","1","***","","","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","328","3.348","42.7","11.9","28.0","7.0","6.1","",".","",".","2.1",".",".",".","1.2","0.6","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.667","50.0",".","50.0",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","12","3.887","83.3","8.3","8.3",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","10","3.700","60.0",".","30.0",".",".","",".","",".",".",".",".",".",".",".","10.0",".","."
"Undergraduates","","24","3.806","70.8","4.2","20.8",".",".","",".","",".",".",".",".",".",".",".","4.2",".","."
"Graduate","","32","3.875","53.1","9.4",".",".",".","",".","",".","18.8",".",".",".","12.5","6.3",".",".","."
"Prof Yr 1","","140","3.084","15.7","25.0","30.7","16.4","11.4","",".","",".","0.7",".",".",".",".",".",".",".","."
"Prof Yr 2","","131","3.593","63.4",".","33.6",".","3.1","",".","",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".",".",".",".",".","."
"Professionals","","272","3.284","39.0","12.9","32.0","8.5","7.4","",".","",".","0.4",".",".",".",".",".",".",".","."
"","Dept. Total","328","3.348","42.7","11.9","28.0","7.0","6.1","",".","",".","2.1",".",".",".","1.2","0.6","0.3",".","."
