"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","90","3.300","32.2","28.9","20.0","11.1","5.6","1.1","1.1",".",".","",".",".","",".","",".","",".",".","."
"Amer Indians in Higher Educ","150
001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Intro to Lit of Native America","172
001","148","3.503","38.5","27.7","23.6","6.1","0.7",".",".","2.7",".","",".",".","",".","",".","","0.7",".","."
"Amer Indian Oral Literature","275
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Archaeology of Wisconsin","354
001","27","2.962","18.5","14.8","29.6","7.4","25.9",".",".","3.7",".","",".",".","",".","",".","",".",".","."
"Survey-N Amer Indian Languages","371
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
001","10","3.929","60.0","10.0",".",".",".",".",".","30.0",".","",".",".","",".","",".","",".",".","."
"","450
002","13","3.538","38.5","46.2","7.7",".","7.7",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
003","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
004","10","3.150","20.0","30.0","20.0","20.0","10.0",".",".",".",".","",".",".","",".","",".","",".",".","."
"Issues in Amer Ind Studies","Course Total","44","3.549","45.5","27.3","9.1","6.8","4.5",".",".","6.8","",".",".","",".","",".","",".",".",".","."
"","699
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
004","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
005","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
21","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","7","3.750","71.4","14.3","14.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"AMER IND
140","Dept. Total","352","3.446","40.1","25.9","19.9","6.8","4.3","0.3","0.3","2.3","",".",".","",".","",".","",".","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.375","35.7","28.6","21.4","14.3",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","135","3.399","38.5","25.9","21.5","7.4","4.4","0.7","0.7","0.7","",".",".","",".","",".","",".",".",".","."
"Junior","","85","3.506","41.2","27.1","21.2","5.9","2.4",".",".","2.4","",".",".","",".","",".","",".",".",".","."
"Senior","","101","3.461","40.6","24.8","16.8","5.0","6.9",".",".","5.0","",".",".","",".","",".","",".","1.0",".","."
"Undergraduates","","349","3.442","39.5","26.1","20.1","6.9","4.3","0.3","0.3","2.3","",".",".","",".","",".","",".","0.3",".","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","352","3.446","40.1","25.9","19.9","6.8","4.3","0.3","0.3","2.3","",".",".","",".","",".","",".","0.3",".","."
