"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","",""
"","103
001","291","2.842","18.2","18.6","18.2","16.5","23.4","3.8","1.4",".",".",".",".",".",".",".",".","."
"","103
002","238","2.683","16.0","15.1","16.8","18.1","23.9","8.0","2.1",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","529","2.770","17.2","17.0","17.6","17.2","23.6","5.7","1.7",".",".",".",".",".",".",".",".","."
"General Physics","104
001","216","2.872","17.6","22.2","13.4","22.7","18.5","3.7","1.4","0.5",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107
001","112","3.049","15.2","27.7","29.5","12.5","12.5","2.7",".",".",".",".",".",".",".",".",".","."
"","109
001","81","3.222","28.4","23.5","27.2","13.6","4.9","1.2","1.2",".",".",".",".",".",".",".",".","."
"","109
002","90","2.839","14.4","15.6","24.4","27.8","12.2","4.4","1.1",".",".",".",".",".",".",".",".","."
"Physics in the Arts","Course Total","171","3.020","21.1","19.3","25.7","21.1","8.8","2.9","1.2",".",".",".",".",".",".",".",".","."
"Energy","115
001","42","3.734","66.7","9.5","21.4",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Directed Study","199
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","93","2.769","14.0","14.0","26.9","19.4","19.4","4.3","2.2",".",".",".",".",".",".",".",".","."
"","201
002","146","2.777","11.0","15.8","22.6","28.8","18.5","2.1","1.4",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","239","2.774","12.1","15.1","24.3","25.1","18.8","2.9","1.7",".",".",".",".",".",".",".",".","."
"","001
202","232","2.847","14.2","16.8","27.6","17.2","19.4","4.3","0.4",".",".",".",".",".",".",".",".","."
"","202
002","209","3.000","17.7","22.5","24.9","19.6","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"General Physics","Course Total","441","2.920","15.9","19.5","26.3","18.4","15.6","4.1","0.2",".",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205
001","32","2.813","9.4","15.6","25.0","28.1","21.9",".",".",".",".",".",".",".",".",".",".","."
"General Physics","207
001","209","3.303","22.5","33.5","28.7","13.4","1.0",".","0.5","0.5",".",".",".",".",".",".",".","."
"General Physics","208
001","121","2.942","15.7","20.7","28.1","19.0","9.1","6.6",".","0.8",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241
001","28","2.750","28.6","7.1","25.0",".","28.6","3.6","7.1",".",".",".",".",".",".",".",".","."
"Modern Physics","244
001","75","3.147","22.7","18.7","26.7","29.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","001
247","51","3.206","37.3","11.8","31.4","5.9","9.8","2.0","2.0",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","249
001","26","3.135","42.3","11.5","19.2","7.7","7.7","11.5",".",".",".",".",".",".",".",".",".","."
"","307
001","10","3.389","10.0","60.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"","307
002","10","3.400",".","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","10","3.200","20.0","50.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"","307
005","7","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","42","3.329","7.1","69.0","11.9","4.8","2.4","2.4",".","2.4",".",".",".",".",".",".",".","."
"Mechanics","311
001","30","2.750","6.7","13.3","30.0","23.3","26.7",".",".",".",".",".",".",".",".",".",".","."
"Elect Circuits & Electronic","321
001","13","3.269","30.8","15.4","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322
001","39","3.434","48.7","15.4","15.4","12.8","2.6","2.6",".",".",".",".",".",".",".","2.6",".","."
"Acoustics for Musicians","371
001","20","3.350","45.0","10.0","35.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Special Topics in Physics","406
001","7","3.088","42.9","14.3","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Thermal Physics","001
415","19","2.947","26.3",".","42.1","10.5","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","448
001","32","2.839","28.1","9.4","21.9","9.4","15.6","9.4","3.1","3.1",".",".",".",".",".",".",".","."
"Radioisotopes-Med & Biology","463
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","498
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","499
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiolgcal Physcs&Dosimetry","501
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 269 of 391",""
