"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","152","3.151","21.1","20.4","35.5","15.1","7.2","0.7",".",".",".",".",".",".",".",".",".","."
"","002
300","221","3.097","22.2","11.8","42.1","15.8","5.9","2.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","373","3.119","21.7","15.3","39.4","15.5","6.4","1.6",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","001
305","44","3.080","25.0","25.0","13.6","18.2","15.9","2.3",".",".",".",".",".",".",".",".",".","."
"","320
001","33","3.424","27.3","33.3","36.4","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","44","3.011","9.1","34.1","22.7","18.2","15.9",".",".",".",".",".",".",".",".",".",".","."
"","320
003","52","3.212","23.1","30.8","23.1","11.5","11.5",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","129","3.198","19.4","32.6","26.4","11.6","10.1",".",".",".",".",".",".",".",".",".",".","."
"","325
001","21","3.238","28.6","19.0","28.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"","002
325","46","3.054","23.9","10.9","34.8","13.0","17.4",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","67","3.112","25.4","13.4","32.8","14.9","13.4",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","001
365","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","399
095","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Management","410
001","34","3.188","14.7","35.3","26.5","11.8","2.9","2.9",".","5.9",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","535
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fixd Income&Derivatv Securties","630
001","30","3.417","30.0","33.3","26.7","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","635
001","13","3.708","53.8","23.1","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","700
001","40","3.449","20.0","50.0","25.0","2.5",".",".",".",".",".",".",".",".",".","2.5",".","."
"","002
700","28","3.536","39.3","32.1","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","030
700","33","3.409","21.2","45.5","27.3","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","Course Total","101","3.460","25.7","43.6","25.7","4.0",".",".",".",".",".",".",".",".",".","1.0",".","."
"Financial Market&Bus Condtn","705
001","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financl Mgt-Depository Inst","710
001","18","3.583","38.9","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","39","3.355","30.8","20.5","35.9","7.7","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725
001","38","3.595","36.8","42.1","18.4",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Market for Corporate Contrl","750
001","33","3.625","39.4","42.4","15.2",".",".",".",".",".",".",".",".",".",".","3.0",".","."
"","765
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","799
101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","835
001","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
002","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","Course Total","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Finance Theory","001
921","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Investments (Ph.D.)","970
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","Course Total","2","***","","","","","","","","","","","","","","","",""
