"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","","",""
"","999
015","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Studies","Course Total","5","***","","","","","","","","","","","","","","","","","","",""
"LAND ARC
520","Dept. Total","454","3.075","21.4","21.4","21.4","8.1","13.4","2.2","0.9","10.6","",".",".","",".","",".","0.2","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","44","2.857","13.6","27.3","22.7","15.9","15.9","2.3","2.3",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","67","2.902","23.9","16.4","14.9","7.5","29.9","1.5","1.5","4.5","",".",".","",".","",".",".",".",".","."
"Junior","","105","2.909","8.6","25.7","29.5","12.4","16.2","2.9","1.0","2.9","",".",".","",".","",".","1.0",".",".","."
"Senior","","173","3.204","26.6","24.9","24.3","5.8","9.2","2.9","0.6","5.2","",".",".","",".","",".",".",".","0.6","."
"Undergraduates","","389","3.031","19.8","23.9","23.9","9.0","15.4","2.6","1.0","3.9","",".",".","",".","",".","0.3",".","0.3","."
"Special","","8","2.833",".",".","25.0","12.5",".",".",".","62.5","",".",".","",".","",".",".",".",".","."
"Graduate","","56","3.799","35.7","7.1","3.6","1.8",".",".",".","50.0","",".",".","",".","",".",".","1.8",".","."
"Prof Yr 3","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","2.000",".",".",".",".","100.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","454","3.075","21.4","21.4","21.4","8.1","13.4","2.2","0.9","10.6","",".",".","",".","",".","0.2","0.2","0.2","."
