"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"505
Publications Editing","001","","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"515","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"515","002","","10","3.300","20.0","40.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","18","3.472","38.9","27.8","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"523
Curric in Agri-sci Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"530","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"530","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","Course Total","","9","3.688","33.3","55.6",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"532
Web Design for the Sciences","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Intro to Digital Video Prod","001","","18","3.806","83.3","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","6","3.912","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","26","3.789","84.6","7.7",".",".",".",".","3.8",".",".",".",".",".","3.8",".",".","."
"720
Intro-Communication Thry&Rsch","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Sci & Envir Communication","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","11","4.000","72.7",".",".",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","11","",".",".",".",".",".",".",".","81.8",".",".",".","9.1","9.1",".",".","."
"999
Independent Research","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
