"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","23","3.227","52.2",".","26.1","8.7",".",".","8.7","4.3",".",".",".",".",".",".",".","."
"","002
101","22","3.477","77.3","4.5","4.5",".",".","9.1","4.5",".",".",".",".",".",".",".",".","."
"","101
003","18","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
101","21","3.738","61.9","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
101","23","3.522","60.9","13.0","13.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","101
006","21","3.700","66.7","9.5","14.3",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","101
007","21","3.429","57.1","23.8",".","4.8","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","149","3.537","63.1","12.1","13.4","2.7","2.7","2.0","2.7","1.3",".",".",".",".",".",".",".","."
"","001
102","19","3.579","63.2",".","31.6",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","102
002","20","3.025","25.0","20.0","30.0","5.0","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"","003
102","17","3.324","41.2","5.9","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","102
004","12","3.083","25.0","8.3","41.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","68","3.265","39.7","8.8","33.8","5.9","10.3",".","1.5",".",".",".",".",".",".",".",".","."
"","111
001","15","3.731","66.7","6.7","6.7",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"","111
002","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","24","3.705","66.7","4.2","16.7",".","4.2",".",".","8.3",".",".",".",".",".",".",".","."
"","203
001","18","3.441","44.4","27.8","11.1",".","5.6","5.6",".","5.6",".",".",".",".",".",".",".","."
"","203
002","22","3.524","54.5","13.6","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".","4.5","."
"","203
003","23","3.609","47.8","34.8","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","004
203","23","3.565","56.5","21.7","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"","203
005","24","3.521","41.7","25.0","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","19","3.556","52.6","15.8","15.8","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","129","3.540","49.6","23.3","16.3","3.1","3.9","1.6",".","1.6",".",".",".",".",".",".","0.8","."
"","204
002","21","3.250","28.6","9.5","42.9","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","204
003","21","3.548","47.6","33.3","9.5",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","204
004","20","3.550","70.0","10.0","5.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","005
204","18","3.417","33.3","27.8","33.3",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","204
006","15","3.607","40.0","33.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","95","3.468","44.2","22.1","22.1","4.2","4.2",".","1.1","2.1",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","221
001","15","3.633","40.0","53.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","17","3.375","29.4","23.5","29.4","11.8",".",".",".",".",".",".",".",".",".","5.9",".","."
"Intro-German Lit & Culture I","Course Total","32","3.500","34.4","37.5","15.6","9.4",".",".",".",".",".",".",".",".",".","3.1",".","."
"Intro-German Lit & Culture II","222
001","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","18","3.667","61.1","11.1","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
002","19","3.421","21.1","42.1","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
225","14","3.346","42.9","7.1","35.7",".",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"","004
225","15","3.192","13.3","20.0","46.7",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"","225
005","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
006","19","3.211","21.1","31.6","26.3","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","99","3.401","31.3","27.3","32.3","2.0","3.0","1.0",".","3.0",".",".",".",".",".",".",".","."
"","226
001","17","3.719","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
226","15","3.440","33.3","26.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn II","Course Total","32","3.589","46.9","25.0","25.0","3.1",".",".",".",".",".",".",".",".",".",".",".","."
