"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","132","3.345","29.5","29.5","25.8","10.6","0.8",".","1.5",".",".",".",".",".",".",".","2.3","."
"Amer Hist-Civil War-Present","102","001","251","3.430","30.3","34.7","27.5","6.0",".","0.4","0.4","0.4",".",".",".",".",".","0.4",".","."
"Intro-E Asian History:China","103","001","80","2.981","16.3","23.8","31.3","12.5","7.5","2.5","3.8","1.3",".",".",".",".",".","1.3",".","."
"The Ancient Mediterranean","110","001","70","3.176","10.0","40.0","28.6","12.9","2.9",".","1.4","4.3",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","160","3.375","31.9","33.1","18.1","5.6","6.3","1.9",".","1.3",".",".",".",".",".","0.6","1.3","."
"Europe&Mod World 1815-On","120","001","203","3.180","11.8","36.0","34.5","14.8","2.0","0.5","0.5",".",".",".",".",".",".",".",".","."
"English History to 1688","123","001","71","3.081","9.9","29.6","33.8","11.3","11.3",".",".","2.8",".",".",".",".",".",".","1.4","."
"Directed Study","199","038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","200","001","11","3.227","27.3","18.2","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"","200","002","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","003","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","200","004","13","2.692","15.4","15.4","23.1","15.4","23.1",".","7.7",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","49","3.313","34.7","26.5","18.4","10.2","6.1",".","2.0",".",".",".",".",".","2.0",".",".","."
"Islam Wrld:MidEast,500-1500","205","002","68","3.424","47.1","20.6","17.6","8.8","2.9","1.5","1.5",".",".",".",".",".",".",".",".","."
"The American Jewish Experience","219","001","41","3.121","9.8","29.3","19.5","14.6","7.3",".",".","17.1",".",".",".",".",".",".","2.4","."
"","223","001","17","3.333","17.6","11.8","41.2",".",".",".",".","23.5",".",".",".",".",".","5.9",".","."
"","223","002","32","3.050","9.4","18.8","43.8","15.6","6.3",".",".","3.1",".",".",".",".",".","3.1",".","."
"Exploration-European Hist (H)","","Course Total","49","3.131","12.2","16.3","42.9","10.2","4.1",".",".","10.2",".",".",".",".",".","4.1",".","."
"Colonial Latin America","241","001","27","3.315","22.2","37.0","25.9","11.1","3.7",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","32","3.554","31.3","34.4","21.9",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"American Business History","247","001","61","3.172","19.7","34.4","21.3","19.7","1.6","1.6","1.6",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","66","2.962","6.1","24.2","31.8","28.8","7.6",".",".",".",".",".",".",".",".","1.5",".","."
"Africa: Introductory Survey","277","001","42","3.110","19.0","26.2","26.2","14.3","9.5","2.4",".","2.4",".",".",".",".",".",".",".","."
"Africn&Africn-Amer Linkages","297","001","6","3.125",".","16.7","50.0",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","61","3.821","67.2","24.6","1.6","1.6",".",".",".","4.9",".",".",".",".",".",".",".","."
"Sociol&Intel Hist 400-1200","317","001","52","3.434","40.4","17.3","28.8","3.8","1.9","1.9",".","3.8",".",".",".",".",".",".","1.9","."
"The Vietnam Wars","319","001","141","3.562","48.2","26.2","12.8","5.7","0.7",".","1.4","5.0",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327","001","6","3.083","16.7","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Constutnl & Legal Dev","331","001","43","2.448","2.3","9.3","25.6","27.9","25.6","4.7","4.7",".",".",".",".",".",".",".",".","."
"The Renaissance","333","001","68","3.105","23.5","19.1","22.1","8.8","11.8","4.4",".","10.3",".",".",".",".",".",".",".","."
"Hist-Modern China 1911-1949","338","001","35","3.294","37.1","28.6","20.0","2.9","5.7",".","5.7",".",".",".",".",".",".",".",".","."
"France from 1799-1914","348","001","46","2.767","13.0","8.7","28.3","32.6","10.9",".","4.3","2.2",".",".",".",".",".",".",".","."
"Seventeenth-Century Europe","351","001","62","2.976","8.1","24.2","38.7","14.5","9.7",".","1.6","1.6",".",".",".",".",".","1.6",".","."
"Women & Gender in US to 1870","353","001","46","3.630","45.7","23.9","15.2","4.3",".",".",".","10.9",".",".",".",".",".",".",".","."
"Europe Betwn Wars,1919-1939","356","001","71","2.851","5.6","19.7","33.8","16.9","18.3","1.4",".","2.8",".",".",".",".","1.4",".",".","."
"Rev&Natlism-Ireland,1780-On","365","001","72","3.112","25.0","18.1","27.8","6.9","9.7","1.4","2.8","8.3",".",".",".",".",".",".",".","."
"Hist of Africa, 1500-1870","377","001","70","3.221","18.6","38.6","22.9","8.6","8.6",".","1.4",".",".",".",".",".",".","1.4",".","."
"Hist of Africa Since 1870","378","001","68","3.189","17.6","36.8","20.6","13.2","8.8","1.5",".","1.5",".",".",".",".",".",".",".","."
"Civil War Era, 1848-1877","393","001","85","3.221","27.1","22.4","27.1","5.9","3.5","2.4","2.4","9.4",".",".",".",".",".",".",".","."
"United States, 1877-1914","395","001","68","3.569","45.6","30.9","14.7","1.5",".",".","1.5","1.5",".",".",".",".",".",".","4.4","."
"Amer Urban Hist 1620-1870","401","001","77","3.321","9.1","50.6","35.1","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 215 of 391",""
