"PHYSIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"335
Physiology","001","","461","2.878","25.4","5.9","38.2","2.0","19.3","7.2","2.0",".",".",".",".",".",".",".","0.2","."
"610
Cellular&Molecular Neurosci","001","","12","3.417","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","004","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","007","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","008","","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","009","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Physiology","Course Total","","58","3.805","77.6","17.2","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","28","3.976","92.9","3.6",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"700
Prof Devlpmt-Biomed Grad Stdts","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"725
Muscle Biology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"773
Cardiores Adapt-Envr&Exer","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"810
Principles & Pract-Biotechnol","001","","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"814
Molecular Technologies I","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","34","",".",".",".",".",".",".",".","97.1",".",".",".",".",".",".","2.9","."
