"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","211","002","","37","2.662","10.8","24.3","16.2","10.8","29.7","2.7","5.4",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","59","2.763","15.3","8.5","33.9","18.6","13.6","10.2",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","58","2.681","15.5","6.9","39.7","12.1","12.1","8.6","5.2",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","63","2.774","14.3","15.9","23.8","15.9","22.2","4.8","1.6","1.6",".",".",".",".",".",".",".","."
"","324","002","","8","3.250","25.0","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","6","3.167","16.7","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324","005","","8","3.000","12.5","37.5","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","29","3.224","24.1","27.6","31.0","10.3","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","38","2.895","21.1","10.5","34.2","10.5","15.8","7.9",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","36","2.986","27.8","8.3","25.0","11.1","27.8",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","32","2.875","21.9","18.8","21.9","12.5","18.8",".","6.3",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","42","3.071","21.4","26.2","19.0","16.7","14.3","2.4",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","26","3.019","19.2","23.1","11.5","34.6","11.5",".",".",".",".",".",".",".",".",".",".","."
"Macromolecular Hydrodynamcs","525","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","54","3.222","35.2","13.0","31.5","9.3","9.3",".","1.9",".",".",".",".",".",".",".",".","."
"Plastics & High Polymer Lab","541","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","002","","15","3.614","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","17","3.660","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","14","3.071","7.1","28.6","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","599","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","34","3.925","94.1","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Problems in ChE","660","002","","29","3.379","27.6","24.1","44.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Studies","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Adv ChE Thermodynamic","710","001","","24","3.438","29.2","37.5","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","735","001","","32","3.375","28.1","21.9","46.9","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 107 of 391",""
