"FOOD SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","",""
"","120
001","48","3.170","37.5","18.8","12.5","14.6","8.3","4.2","2.1","2.1",".",".",".",".",".",".",".","."
"","002
120","268","3.121","29.5","25.4","19.4","10.8","7.5","5.2","2.2",".",".",".",".",".",".",".",".","."
"","120
003","227","3.156","29.1","26.0","16.7","11.0","6.6","4.8","1.8","3.1","0.4",".",".",".",".",".",".","0.4"
"Science of Food","Course Total","543","3.140","30.0","25.0","17.7","11.2","7.2","5.0","2.0","1.5","0.2",".",".",".",".",".",".","0.2"
"Prof-Dietetics & Nutrition","200
001","68","",".",".",".",".",".",".",".",".",".","97.1","1.5",".",".",".","1.5","."
"Nature of Food","235
001","104","3.159","34.6","9.6","33.7","4.8","14.4","1.9","1.0",".",".",".",".",".",".",".",".","."
"","236
001","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","236
002","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
236","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","41","3.805","68.3","24.4","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Analysis of Food Products","310
001","26","3.154","15.4","26.9","38.5","11.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology Lab","324
001","11","3.000","9.1","27.3","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"Food Bacteriology","325
001","48","2.936","18.8","6.3","41.7","10.4","18.8","2.1",".","2.1",".",".",".",".",".",".",".","."
"","375
001","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","2","***","","","","","","","","","","","","","","","",""
"Food Service Operations","437
001","41","3.512","26.8","51.2","19.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","438
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","438
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Food Engr","440
001","8","3.000","12.5","37.5","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Food Science Capstone","499
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Principles of Food Chem-Lab","512
001","8","3.250","37.5","12.5","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Food Processing I","530
001","19","3.026","26.3","5.3","36.8","10.5","21.1",".",".",".",".",".",".",".",".",".",".","."
"Food Enzymes","612
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Food & Phmaceut Separations","642
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Trends in Food Safety","670
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","9","3.864","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem of the Food Lipids","710
001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","799
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar Advanced","900
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 21 of 391"
