"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","293","3.569","51.5","27.3","11.3","5.5","3.4","0.3","0.3",".",".",".",".",".",".","0.3",".","."
"Voice Training","140
001","14","3.286","64.3","14.3",".",".","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"","150
001","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","3.647","76.5","11.8",".",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","150
007","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
008","16","3.844","87.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
150","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","132","3.902","91.7","3.0","2.3","1.5","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"","161
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","161
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","10","3.222","30.0","30.0",".","10.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0"
"","161
005","8","3.563","12.5","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","42","3.550","47.6","31.0","7.1","2.4","4.8","2.4",".","2.4",".",".",".",".",".",".",".","2.4"
"Performance Laboratory","162
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Costumes Technol","163
001","7","3.409","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","001
170","23","3.173","26.1","26.1","30.4","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Undergrad Topics-Theatre&Drama","219
001","20","3.775","75.0","15.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Wrld Theatre & Drama to 18c","221
001","68","2.888","19.1","13.2","26.5","20.6","13.2","4.4","1.5","1.5",".",".",".",".",".",".",".","."
"History of Theatre","231
001","39","3.324","35.9","15.4","23.1","15.4","5.1",".",".","5.1",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","15","3.200","46.7","20.0",".","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","250
001","18","3.694","38.9","61.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Drama-A Strindberg","336
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","342
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
342","12","3.829","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for","Course Total","22","3.908","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","17","3.706","70.6","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","001
351","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","17","3.810","94.1",".",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","362
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
362","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","34","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
