"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","358","2.768","16.8","16.2","17.3","15.1","29.3","3.9","1.1","0.3",".",".",".",".",".",".",".","."
"132","002","","490","2.658","13.3","11.6","19.4","18.4","31.4","3.5","1.8","0.6",".",".",".",".",".",".",".","."
"132","003","","161","2.565","6.8","10.6","24.2","16.1","25.5","4.3","3.1","8.7",".",".",".",".",".","0.6",".","."
"Nutrition Today","Course Total","1009","","2.684","13.5","13.1","19.4","16.8","29.7","3.8","1.8","1.8",".",".",".",".",".","0.1",".","."
"200
Prof-Dietetics & Nutrition","001","","99","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"311
Comparative Animal Nutritn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","59","3.169","32.2","18.6","22.0","15.3","6.8","5.1",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","59","2.915","10.2","20.3","35.6","20.3","10.2","1.7","1.7",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","001","","31","3.694","61.3","22.6","9.7","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"626
Experimental Diet Design","001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","55","3.273","27.3","30.9","21.8","12.7","5.5","1.8",".",".",".",".",".",".",".",".",".","."
"634
Clinical Nutri(Affiliation)","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"681
Senior Honors Thesis","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","3.971","77.8","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".",".","."
"799","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","5","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","29","4.000","6.9",".",".",".",".",".",".","89.7",".",".",".",".","3.4",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 35 of 391"
