"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Golf I","Course Total","","64","3.434","20.3","20.3","10.9","6.3","1.6",".",".","39.1","1.6",".",".",".",".",".",".","."
"","001
140","","18","3.455","38.9","11.1","5.6",".",".",".","5.6","38.9",".",".",".",".",".",".",".","."
"","002
140","","18","3.429","33.3","16.7","16.7","5.6","5.6",".",".","22.2",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","36","3.440","36.1","13.9","11.1","2.8","2.8",".","2.8","30.6",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","","17","3.917","58.8","11.8",".",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","12","3.750","8.3","8.3",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"Badminton I","155
001","","22","3.159","31.8","22.7","18.2","9.1","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","157
001","","19","3.375","26.3","42.1","10.5",".",".",".","5.3","15.8",".",".",".",".",".",".",".","."
"","157
002","","22","3.800","54.5","36.4",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","003
157","","24","3.545","29.2","45.8","12.5","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","","65","3.586","36.9","41.5","7.7","1.5",".",".","1.5","10.8",".",".",".",".",".",".",".","."
"","162
001","","22","3.750","36.4","22.7","4.5",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"","162
002","","17","3.125","5.9","11.8","23.5",".","5.9",".",".","47.1","5.9",".",".",".",".",".",".","."
"","162
003","","17","3.214","23.5","23.5","29.4",".",".",".","5.9","17.6",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","56","3.403","23.2","19.6","17.9",".","1.8",".","1.8","33.9","1.8",".",".",".",".",".",".","."
"Racquetball I","004
163","","12","3.750","33.3","33.3",".",".",".",".",".","25.0",".",".",".",".",".","8.3",".","."
"Basketball I","170
001","","24","3.630","58.3","20.8","12.5",".",".","4.2",".","4.2",".",".",".",".",".",".",".","."
"Soccer I","173
001","","21","3.529","33.3","19.0","28.6",".",".",".",".","19.0",".",".",".",".",".",".",".","."
"","175
001","","27","3.524","33.3","29.6","7.4",".","7.4",".",".","14.8","3.7",".",".",".",".","3.7",".","."
"","002
175","","23","3.531","39.1","13.0","13.0",".",".","4.3",".","30.4",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","50","3.527","36.0","22.0","10.0",".","4.0","2.0",".","22.0","2.0",".",".",".",".","2.0",".","."
"Softball","179
001","","23","3.625","30.4","26.1","13.0",".",".",".",".","30.4",".",".",".",".",".",".",".","."
"","201
001","","11","3.417","9.1","27.3","18.2",".",".",".",".","36.4",".",".",".",".",".",".","9.1","."
"","002
201","","18","3.321","22.2","27.8","5.6","22.2",".",".",".","22.2",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","29","3.350","17.2","27.6","10.3","13.8",".",".",".","27.6",".",".",".",".",".",".","3.4","."
"","211
001","","13","3.056","30.8",".","23.1","7.7",".",".","7.7","30.8",".",".",".",".",".",".",".","."
"","211
002","","19","3.421","21.1","47.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","32","3.304","25.0","28.1","25.0","6.3",".",".","3.1","12.5",".",".",".",".",".",".",".","."
"Golf II","238
001","","12","3.773","50.0","41.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Power Skating","244
001","","16","3.385","31.3","25.0","6.3","12.5","6.3",".",".","18.8",".",".",".",".",".",".",".","."
"","262
001","","19","3.389","26.3","15.8",".",".",".",".","5.3","52.6",".",".",".",".",".",".",".","."
"","002
262","","19","3.650","26.3","15.8","10.5",".",".",".",".","47.4",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","38","3.526","26.3","15.8","5.3",".",".",".","2.6","50.0",".",".",".",".",".",".",".","."
"","275
001","","29","3.680","55.2","17.2","6.9","3.4","3.4",".",".","13.8",".",".",".",".",".",".",".","."
"","275
002","","32","3.481","37.5","15.6","15.6","12.5",".",".",".","15.6","3.1",".",".",".",".",".",".","."
"Volleyball II","Course Total","","61","3.578","45.9","16.4","11.5","8.2","1.6",".",".","14.8","1.6",".",".",".",".",".",".","."
"Bicycling","001
295","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Workshop-Physical Activity","300
002","","21","3.467","19.0","33.3","14.3","4.8",".",".",".","28.6",".",".",".",".",".",".",".","."
"Lifegrdng&Swimmng Supervisn","308
001","","22","3.472","13.6","50.0","18.2",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Water Safety Instructor","310
001","","13","3.875","69.2","23.1",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Tennis III","362
001","","17","3.625","23.5","41.2","5.9",".",".",".",".","29.4",".",".",".",".",".",".",".","."
