"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","301
001","153","3.199","32.0","7.8","43.8","4.6","9.8","2.0",".",".",".",".",".",".",".",".",".","."
"","302
001","24","3.750","66.7","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","24","3.875","79.2","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","23","3.630","47.8","30.4","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
004","22","3.568","45.5","22.7","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
005","23","3.783","69.6","17.4","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
302","23","3.761","65.2","21.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","139","3.730","62.6","21.6","15.1","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology","323
001","140","3.232","39.3","10.0","34.3","2.1","10.0","2.9","1.4",".",".",".",".",".",".",".",".","."
"","324
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
003","13","3.423","38.5","23.1","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","004
324","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","52","3.635","50.0","30.8","17.3",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","484","3.363","44.8","14.9","30.0","2.3","6.2","1.4","0.4",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","155","3.250","38.7","11.0","37.4","3.9","7.1","1.9",".",".",".",".",".",".",".",".",".","."
"Junior","","246","3.431","48.8","16.3","26.4","1.6","5.3","1.2","0.4",".",".",".",".",".",".",".",".","."
"Senior","","83","3.367","44.6","18.1","26.5","1.2","7.2","1.2","1.2",".",".",".",".",".",".",".",".","."
"Undergraduates","","484","3.363","44.8","14.9","30.0","2.3","6.2","1.4","0.4",".",".",".",".",".",".",".",".","."
"","Dept. Total","484","3.363","44.8","14.9","30.0","2.3","6.2","1.4","0.4",".",".",".",".",".",".",".",".","."
