"","996
015","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"","996
025","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","996
041","5","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research-Plant Physiology","Course Total","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3","",".",".",".","."
"BOTANY
208","Dept. Total","796","2.941","28.5","10.3","25.0","7.9","17.8","2.6","1.4","5.5",".",".",".","0.4","",".","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","55","2.658","16.4","7.3","36.4","10.9","18.2","7.3","1.8",".",".",".",".",".","",".","1.8",".","."
"Sophomore","","200","2.979","22.5","11.5","35.5","10.5","17.5","2.0","0.5",".",".",".",".",".","",".",".",".","."
"Junior","","198","2.838","24.7","10.1","25.3","7.1","24.7","4.5","2.0",".",".",".",".","0.5","",".","0.5","0.5","."
"Senior","","217","2.927","29.0","13.8","22.1","9.2","21.7","1.8","1.8","0.5",".",".",".",".","",".",".",".","."
"Undergraduates","","670","2.897","24.8","11.5","28.2","9.1","21.0","3.1","1.5","0.1",".",".",".","0.1","",".","0.3","0.1","."
"Special","","10","3.188","50.0",".","10.0","10.0",".",".","10.0","10.0",".",".",".",".","",".",".","10.0","."
"Graduate","","116","3.671","48.3","4.3","7.8","0.9","0.9",".",".","36.2",".",".",".","1.7","",".",".",".","."
"","Dept. Total","796","2.941","28.5","10.3","25.0","7.9","17.8","2.6","1.4","5.5",".",".",".","0.4","",".","0.3","0.3","."
