"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","112","2.817","12.5","8.0","35.7","19.6","23.2","0.9",".",".",".",".",".",".",".",".",".","."
"215","002","","134","2.959","16.4","14.2","32.1","20.9","15.7","0.7",".",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","Course Total","","246","2.894","14.6","11.4","33.7","20.3","19.1","0.8",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","12","2.625","16.7","16.7",".","41.7","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"323
Cooperatives","001","","45","3.033","15.6","22.2","28.9","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"340
Issues in Food Systems","001","","13","3.704","76.9",".","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","29","3.138","31.0","13.8","31.0",".","24.1",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"419
Agricultural Finance","001","","21","2.905","14.3","19.0","33.3","19.0","4.8","9.5",".",".",".",".",".",".",".",".",".","."
"420
Production Economics","001","","14","2.893","28.6","21.4","21.4",".","14.3","7.1","7.1",".",".",".",".",".",".",".",".","."
"426
Quant Mthds-Ag & Appl Econ","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"473
Econ Grwth&Devlpmnt-SE Asia","001","","21","3.048","14.3","28.6","38.1","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"477
Agri & Econ Development-Africa","001","","13","3.269","53.8","7.7","23.1",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"635
Applied Microeconomic Thry","001","","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","3.969","75.0","12.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"729
Microdynamics-Envir&Developmt","001","","16","3.679","31.3","56.3",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"744
Regional Economics","001","","6","3.700","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"799","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Ag&Appl Econ Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"881
Benefit-Cost Analysis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"982
Smr-Latin American Area","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 1 of 391"
