"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"323
001
Art in Elementary Education","","14","3.714","42.9","57.1","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"324
002
Art in Secondary Education","","14","4.000","100.0",".","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"470
001
Practicum in Elem School Art","","14","3.929","85.7","14.3","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"493
001
Practicum-Secondary School Art","","14","3.929","85.7","14.3","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"699
059","","3","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
061","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Independent Reading & Rsch","","4","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"900
001
Contemp Practices in Art Ed","","10","3.900","80.0","20.0","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"951
001
Seminar in Art Education","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"999
059","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"999
061","","3","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Adv Independent Reading","","4","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART ED
Dept. Total
176","","75","3.905","81.3","18.7","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","42","3.893","78.6","21.4","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","43","3.895","79.1","20.9","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","19","3.921","84.2","15.8","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","13","3.912","84.6","15.4","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","75","3.905","81.3","18.7","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
